# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.04 1.6738e-23    100.23 0 
   101.90 2.1613e-23    102.09 0 
   104.03 2.6224e-23    104.23 0 
   105.96 3.2487e-23    106.17 0 
   107.93 4.0337e-23    108.14 0 
   109.94 5.7904e-23    110.15 0 
   114.07 8.3889e-23    114.29 0 
   118.07 1.1527e-22    118.30 0 
   121.10 2.5044e-22    121.34 0 
   125.07 3.4018e-22    125.31 0 
   127.10 3.9238e-22    127.35 0 
   127.98 4.2238e-22    128.23 0 
   130.97 5.1488e-22    131.22 0 
   131.87 5.7373e-22    132.13 0 
   134.02 6.4969e-22    134.28 0 
   137.14 8.1415e-22    137.40 0 
   140.01 9.7209e-22    140.28 0 
   142.94 1.4181e-21    143.22 0 
   146.95 2.0216e-21    147.23 0 
   151.06 2.4872e-21    151.36 0 
   154.94 3.0458e-21    155.24 0 
   158.91 3.6958e-21    159.22 0 
   161.87 4.2433e-21    162.18 0 
   166.02 5.0782e-21    166.34 0 
   169.89 6.0077e-21    170.22 0 
   173.04 6.7874e-21    173.38 0 
   177.07 7.9379e-21    177.42 0 
   179.95 8.8860e-21    180.30 0 
   182.04 9.5655e-21    182.39 0 
   185.85 1.1033e-20    186.21 0 
   191.05 1.3023e-20    191.43 0 
   194.16 1.4378e-20    194.54 0 
   198.22 1.6319e-20    198.61 0 
   201.91 1.8353e-20    202.30 0 
   205.19 2.0031e-20    205.59 0 
   209.97 2.2683e-20    210.38 0 
   215.85 2.6959e-20    216.27 0 
   219.86 2.9834e-20    220.29 0 
   222.92 3.2041e-20    223.36 0 
   227.07 3.5294e-20    227.51 0 
   230.23 9.4342e-20    230.67 0 
   233.97 1.3388e-19    234.42 0 
   239.97 1.6133e-19    240.44 0 
   246.13 1.6815e-19    246.60 0 
   251.86 1.8185e-19    252.35 0 
   257.13 1.7049e-19    257.63 0 
   260.11 1.9174e-19    260.62 0 
   263.73 2.0310e-19    264.24 0 
   269.25 2.1121e-19    269.77 0 
   274.26 2.1863e-19    274.79 0 
   278.71 2.2579e-19    279.25 0 
   283.89 2.3319e-19    284.45 0 
   289.84 2.3589e-19    290.40 0 
   295.91 2.4701e-19    296.48 0 
   300.72 2.4701e-19    301.30 0 
   307.72 2.5984e-19    308.32 0 
   317.80 2.7778e-19    318.42 0 
   328.21 2.8954e-19    328.85 0 
   338.19 3.0110e-19    338.84 0 
   347.66 3.1240e-19    348.34 0 
   357.40 3.2487e-19    358.10 0 
   365.73 3.4018e-19    366.44 0 
   375.11 3.5132e-19    375.84 0 
   384.73 3.6200e-19    385.48 0 
   394.60 3.8789e-19    395.37 0 
   404.72 4.1087e-19    405.51 0 
   414.15 4.3522e-19    414.95 0 
   421.85 4.5573e-19    422.67 0 
   429.69 4.8162e-19    430.53 0 
   440.71 5.3053e-19    441.57 0 
   450.98 5.7770e-19    451.86 0 
   460.42 6.2331e-19    461.32 0 
   470.06 6.9455e-19    470.98 0 
   479.91 7.7930e-19    480.84 0 
   489.95 8.6837e-19    490.91 0 
   500.21 9.9702e-19    501.19 0 
   506.01 3.3397e-18    506.99 0 
   511.87 1.1580e-17    512.86 0 
   520.18 1.1687e-17    521.19 0 
   529.85 1.1987e-17    530.88 0 
   539.70 1.1369e-17    540.75 0 
   549.74 1.4181e-17    550.81 0 
   559.96 1.6777e-17    561.05 0 
   570.37 1.8395e-17    571.48 0 
   579.64 1.7771e-17    580.76 0 
   590.41 2.0451e-17    591.56 0 
   600.01 2.0592e-17    601.17 0 
   609.76 2.3373e-17    610.94 0 
   619.66 2.6467e-17    620.87 0 
   629.73 2.7971e-17    630.96 0 
   639.96 2.8887e-17    641.21 0 
   650.36 3.1312e-17    651.63 0 
   657.89 3.2412e-17    659.17 0 
   665.51 3.4491e-17    666.81 0 
   674.77 3.6033e-17    676.08 0 
   685.73 3.5621e-17    687.07 0 
   695.27 4.1755e-17    696.63 0 
   704.95 4.0430e-17    706.32 0 
   716.40 4.7174e-17    717.79 0 
   726.37 4.8945e-17    727.78 0 
   734.78 5.1134e-17    736.21 0 
   745.00 5.4665e-17    746.45 0 
   755.36 5.7241e-17    756.83 0 
   765.87 5.9801e-17    767.36 0 
   774.74 6.3490e-17    776.25 0 
   785.52 6.7718e-17    787.05 0 
   794.61 7.0260e-17    796.16 0 
   805.67 7.2896e-17    807.24 0 
   815.00 7.5458e-17    816.58 0 
   824.43 8.0483e-17    826.04 0 
