# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.01 1.5504e-24    101.39 0 
   102.11 2.4234e-24    103.51 0 
   104.00 3.4390e-24    105.44 0 
   105.94 4.9480e-24    107.40 0 
   107.91 7.2349e-24    109.40 0 
   109.91 1.1842e-23    111.43 0 
   114.04 2.2000e-23    115.61 0 
   118.05 3.7882e-23    119.67 0 
   121.07 1.6999e-22    122.74 0 
   125.04 2.6572e-22    126.77 0 
   127.07 3.2021e-22    128.82 0 
   127.95 3.5763e-22    129.72 0 
   130.93 4.6178e-22    132.74 0 
   132.15 5.7469e-22    133.97 0 
   133.98 6.7364e-22    135.83 0 
   137.10 9.8726e-22    139.00 0 
   139.98 1.2372e-21    141.91 0 
   142.91 4.0219e-21    144.88 0 
   146.91 1.1979e-20    148.94 0 
   151.03 1.5081e-20    153.11 0 
   154.90 1.9117e-20    157.04 0 
   158.87 2.4068e-20    161.06 0 
   161.83 2.8342e-20    164.06 0 
   165.98 3.5435e-20    168.27 0 
   169.84 4.3195e-20    172.19 0 
   173.00 5.0168e-20    175.39 0 
   177.03 6.0316e-20    179.47 0 
   179.91 6.8934e-20    182.39 0 
   181.99 7.5410e-20    184.50 0 
   185.80 8.9214e-20    188.36 0 
   191.01 1.0950e-19    193.64 0 
   194.11 1.2429e-19    196.79 0 
   198.18 1.4402e-19    200.91 0 
   201.86 1.6766e-19    204.64 0 
   205.14 1.8682e-19    207.97 0 
   209.92 2.1205e-19    212.81 0 
   215.80 2.7004e-19    218.78 0 
   219.81 3.0792e-19    222.84 0 
   222.87 3.3376e-19    225.94 0 
   227.01 3.7969e-19    230.14 0 
   230.17 6.1296e-19    233.35 0 
   233.91 1.1180e-18    237.14 0 
   239.91 1.5504e-18    243.22 0 
   246.07 1.6272e-18    249.46 0 
   251.80 1.9117e-18    255.27 0 
   257.07 1.7355e-18    260.62 0 
   260.05 2.1107e-18    263.63 0 
   264.27 2.3520e-18    267.92 0 
   269.19 2.5260e-18    272.90 0 
   274.19 2.6942e-18    277.97 0 
   279.29 2.8803e-18    283.14 0 
   283.83 3.0650e-18    287.74 0 
   289.77 3.1436e-18    293.76 0 
   295.84 3.4390e-18    299.92 0 
   301.34 3.5928e-18    305.49 0 
   307.65 3.9303e-18    311.89 0 
   317.73 4.4507e-18    322.11 0 
   328.13 4.8914e-18    332.66 0 
   338.11 5.3019e-18    342.77 0 
