# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.07 6.1253e-17    102.33 0 
   103.97 6.6855e-17    104.23 0 
   105.90 7.3474e-17    106.17 0 
   108.12 8.0008e-17    108.39 0 
   109.88 8.9152e-17    110.15 0 
   114.00 1.0426e-16    114.29 0 
   118.01 1.1943e-16    118.30 0 
   121.04 1.4293e-16    121.34 0 
   125.00 1.6223e-16    125.31 0 
   127.03 1.7264e-16    127.35 0 
   127.91 1.7788e-16    128.23 0 
   130.89 1.9237e-16    131.22 0 
   132.10 1.9913e-16    132.43 0 
   133.94 2.0755e-16    134.28 0 
   137.06 2.2758e-16    137.40 0 
   139.93 2.4329e-16    140.28 0 
   142.86 2.7678e-16    143.22 0 
   146.86 3.1778e-16    147.23 0 
   150.98 3.2744e-16    151.36 0 
   154.85 3.7079e-16    155.24 0 
   158.82 3.9823e-16    159.22 0 
   162.15 4.1989e-16    162.55 0 
   165.93 4.4888e-16    166.34 0 
   170.18 4.7657e-16    170.61 0 
   172.95 4.7657e-16    173.38 0 
   176.98 5.2739e-16    177.42 0 
   179.85 5.4844e-16    180.30 0 
   181.93 5.6381e-16    182.39 0 
   186.17 5.9174e-16    186.64 0 
   190.95 6.2680e-16    191.43 0 
   194.05 6.5033e-16    194.54 0 
   198.11 6.7785e-16    198.61 0 
   201.80 7.0653e-16    202.30 0 
   205.08 7.2800e-16    205.59 0 
   209.85 7.5012e-16    210.38 0 
   216.23 8.0562e-16    216.77 0 
   220.25 8.3393e-16    220.80 0 
   222.80 8.5139e-16    223.36 0 
   226.94 8.8335e-16    227.51 0 
   230.10 1.1753e-15    230.67 0 
   233.84 2.3830e-15    234.42 0 
   239.84 5.6511e-15    240.44 0 
   245.99 5.7561e-15    246.60 0 
   251.72 6.6701e-15    252.35 0 
   256.99 3.7250e-15    257.63 0 
   259.96 7.0653e-15    260.62 0 
   264.19 9.5089e-15    264.85 0 
   269.10 1.0026e-14    269.77 0 
   274.10 1.0283e-14    274.79 0 
   279.20 9.7753e-15    279.90 0 
   283.74 1.0893e-14    284.45 0 
   289.68 1.0843e-14    290.40 0 
   295.74 1.0166e-14    296.48 0 
   301.24 6.8097e-15    302.00 0 
   308.26 8.9152e-15    309.03 0 
   318.36 1.2420e-14    319.15 0 
   328.03 1.2976e-14    328.85 0 
   338.00 1.3006e-14    338.84 0 
   348.27 1.2946e-14    349.14 0 
   357.20 1.4326e-14    358.10 0 
   366.36 1.6563e-14    367.28 0 
   374.90 1.6487e-14    375.84 0 
   385.40 1.5210e-14    386.37 0 
   395.29 1.7343e-14    396.28 0 
   405.43 1.8626e-14    406.44 0 
   413.92 1.8584e-14    414.95 0 
   421.61 1.7953e-14    422.67 0 
   430.44 1.7423e-14    431.52 0 
   441.48 1.8498e-14    442.59 0 
   450.73 1.8584e-14    451.86 0 
   460.16 1.7625e-14    461.32 0 
   469.80 1.7585e-14    470.98 0 
   479.64 1.8244e-14    480.84 0 
   489.68 1.6988e-14    490.91 0 
   499.93 1.8244e-14    501.19 0 
   505.72 1.8036e-14    506.99 0 
   511.58 2.4498e-14    512.86 0 
   519.89 2.3558e-14    521.19 0 
   529.56 2.2394e-14    530.88 0 
   539.40 2.0283e-14    540.75 0 
   549.43 1.9959e-14    550.81 0 
   559.65 2.2863e-14    561.05 0 
   570.05 2.3558e-14    571.48 0 
   580.65 2.2758e-14    582.10 0 
   590.08 2.2968e-14    591.56 0 
   599.67 2.0996e-14    601.17 0 
   609.42 1.9415e-14    610.94 0 
   619.32 2.3074e-14    620.87 0 
   629.38 2.2189e-14    630.96 0 
