# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.00 2.7026e-25    101.86 0 
   102.10 4.2052e-25    103.99 0 
   104.00 5.9264e-25    105.93 0 
   105.93 8.5662e-25    107.89 0 
   107.90 1.2525e-24    109.90 0 
   109.90 2.0691e-24    111.94 0 
   114.03 3.9791e-24    116.14 0 
   118.04 7.1251e-24    120.23 0 
   121.06 2.3109e-23    123.31 0 
   125.03 3.8000e-23    127.35 0 
   127.06 4.7950e-23    129.42 0 
   127.94 5.4424e-23    130.32 0 
   130.92 7.4437e-23    133.35 0 
   132.13 8.9906e-23    134.59 0 
   133.97 1.0884e-22    136.46 0 
   137.09 1.6474e-22    139.64 0 
   139.96 2.2222e-22    142.56 0 
   142.89 5.1143e-22    145.55 0 
   146.90 1.2100e-21    149.62 0 
   151.01 1.5805e-21    153.82 0 
   154.89 2.2222e-21    157.76 0 
   158.86 3.0046e-21    161.81 0 
   162.19 3.7393e-21    165.20 0 
   165.96 5.0094e-21    169.04 0 
   169.83 6.6037e-21    172.98 0 
   172.99 7.3925e-21    176.20 0 
   177.02 1.0563e-20    180.30 0 
   179.89 1.2817e-20    183.23 0 
   181.98 1.4548e-20    185.35 0 
   185.79 1.8655e-20    189.23 0 
   190.99 2.5165e-20    194.54 0 
   194.09 3.0115e-20    197.70 0 
   198.16 3.7652e-20    201.84 0 
   201.84 4.7075e-20    205.59 0 
   205.12 5.5181e-20    208.93 0 
   209.90 6.9309e-20    213.80 0 
   215.78 9.6115e-20    219.79 0 
   219.79 1.1662e-19    223.87 0 
   222.85 1.3267e-19    226.99 0 
   226.99 1.6099e-19    231.21 0 
   230.15 2.3757e-19    234.42 0 
   233.89 4.2344e-19    238.23 0 
   239.89 6.0227e-19    244.34 0 
   246.04 7.1745e-19    250.61 0 
   251.78 9.5673e-19    256.45 0 
   257.05 1.0490e-18    261.82 0 
   260.02 1.2700e-18    264.85 0 
   264.25 1.9399e-18    269.15 0 
   269.16 2.3757e-18    274.16 0 
   274.17 2.8496e-18    279.25 0 
   279.26 2.8562e-18    284.45 0 
   283.80 4.0067e-18    289.07 0 
   289.74 4.9635e-18    295.12 0 
   295.81 5.3801e-18    301.30 0 
   301.31 5.3677e-18    306.90 0 
   308.33 7.1910e-18    314.05 0 
   317.70 9.5453e-18    323.59 0 
   328.11 1.2468e-17    334.19 0 
   338.08 1.4750e-17    344.35 0 
   348.35 1.7210e-17    354.81 0 
   357.28 2.7026e-17    363.92 0 
   365.61 4.6536e-17    372.39 0 
   374.98 5.3554e-17    381.94 0 
   384.60 5.1261e-17    391.74 0 
   395.38 8.5073e-17    402.72 0 
   404.59 1.1907e-16    412.10 0 
   414.01 1.3390e-16    421.70 0 
   421.71 1.3671e-16    429.54 0 
   429.55 1.4481e-16    437.52 0 
   440.57 1.9045e-16    448.75 0 
   450.83 2.1716e-16    459.20 0 
   460.27 2.1419e-16    468.81 0 
   469.91 2.4143e-16    478.63 0 
   479.75 2.9566e-16    488.65 0 
   489.79 2.8041e-16    498.88 0 
   500.05 3.7050e-16    509.33 0 
   505.84 3.4418e-16    515.23 0 
   511.70 5.5308e-16    521.19 0 
   520.01 5.6336e-16    529.66 0 
   529.68 5.6596e-16    539.51 0 
   539.53 5.1143e-16    549.54 0 
   549.56 5.3430e-16    559.76 0 
   559.78 7.3416e-16    570.16 0 
   570.18 8.6455e-16    580.76 0 
   579.45 9.0113e-16    590.20 0 
   590.22 9.7227e-16    601.17 0 
   599.81 8.8265e-16    610.94 0 
   609.56 8.9493e-16    620.87 0 
   619.46 1.1852e-15    630.96 0 
   629.53 1.1770e-15    641.21 0 
   639.76 1.3514e-15    651.63 0 
   650.15 1.3639e-15    662.22 0 
   657.68 1.3085e-15    669.88 0 
   665.29 1.5059e-15    677.64 0 
   674.55 1.6436e-15    687.07 0 
   685.51 1.4886e-15    698.23 0 
   695.05 1.7733e-15    707.95 0 
   704.72 1.5198e-15    717.79 0 
   716.17 1.9760e-15    729.46 0 
   726.13 2.0644e-15    739.61 0 
   734.54 2.1369e-15    748.17 0 
   744.76 2.1468e-15    758.58 0 
   755.12 2.2019e-15    769.13 0 
   765.62 2.0502e-15    779.83 0 
   774.49 2.3431e-15    788.86 0 
   785.26 2.2376e-15    799.83 0 
   794.35 2.4535e-15    809.10 0 
   805.40 2.5810e-15    820.35 0 
   814.73 2.6594e-15    829.85 0 
   824.16 2.7720e-15    839.46 0 
   835.63 2.3056e-15    851.14 0 
   845.31 2.8562e-15    860.99 0 
   855.09 2.8826e-15    870.96 0 
   865.00 3.0464e-15    881.05 0 
   875.01 3.1246e-15    891.25 0 
   885.14 3.1973e-15    901.57 0 
   895.39 3.2718e-15    912.01 0 
   905.76 3.2794e-15    922.57 0 
   914.14 3.2493e-15    931.11 0 
   924.73 7.5299e-15    941.89 0 
   935.44 1.2100e-14    952.80 0 
   944.09 1.6896e-14    961.61 0 
   955.02 2.0267e-14    972.75 0 
   966.08 2.2531e-14    984.01 0 
   975.02 8.8877e-15    993.12 0 
   984.04 1.9133e-14   1002.31 0 
   995.44 1.8914e-14   1013.91 0 
  1004.65 2.4087e-14   1023.29 0 
  1013.94 2.4592e-14   1032.76 0 
  1025.68 1.6360e-14   1044.72 0 
  1035.18 2.1716e-14   1054.39 0 
  1044.75 3.0959e-14   1064.14 0 
  1054.42 3.0324e-14   1073.99 0 
