# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.05 7.4284e-26    105.20 0 
   103.95 1.0639e-25    107.15 0 
   105.88 1.5520e-25    109.14 0 
   108.10 2.2956e-25    111.43 0 
   110.11 3.8010e-25    113.50 0 
   113.98 7.1762e-25    117.49 0 
   117.98 1.2528e-24    121.62 0 
   121.01 5.7929e-24    124.74 0 
   124.97 9.1811e-24    128.82 0 
   127.00 1.1115e-23    130.92 0 
   127.88 1.2442e-23    131.83 0 
   130.86 1.6214e-23    134.90 0 
   132.07 2.0272e-23    136.14 0 
   133.91 2.3817e-23    138.04 0 
   137.03 3.5229e-23    141.25 0 
   139.90 4.4350e-23    144.21 0 
   143.16 1.4155e-22    147.57 0 
   147.17 4.2943e-22    151.71 0 
   150.94 5.4814e-22    155.60 0 
   155.17 7.0129e-22    159.96 0 
   159.15 9.0135e-22    164.06 0 
   162.11 1.0713e-21    167.11 0 
   165.89 1.3580e-21    171.00 0 
   170.14 1.6668e-21    175.39 0 
   172.91 1.9539e-21    178.24 0 
   176.93 2.3708e-21    182.39 0 
   179.81 2.7220e-21    185.35 0 
   181.89 2.9847e-21    187.50 0 
   186.13 3.5637e-21    191.87 0 
   190.90 4.4045e-21    196.79 0 
   194.00 5.0222e-21    199.99 0 
   198.07 5.8600e-21    204.17 0 
   202.21 6.8532e-21    208.45 0 
   205.03 7.6541e-21    211.35 0 
   209.80 8.7477e-21    216.27 0 
   216.18 1.1217e-20    222.84 0 
   220.20 1.2850e-20    226.99 0 
   222.75 1.3992e-20    229.61 0 
   226.89 1.5955e-20    233.88 0 
   230.04 2.5876e-20    237.14 0 
   233.78 4.4045e-20    240.99 0 
   239.78 6.1503e-20    247.17 0 
   245.93 6.4699e-20    253.51 0 
   252.24 7.6894e-20    260.02 0 
   256.93 7.0452e-20    264.85 0 
   259.90 8.5683e-20    267.92 0 
   264.13 9.5917e-20    272.27 0 
   269.04 1.0373e-19    277.33 0 
   274.04 1.1115e-19    282.49 0 
   279.13 1.1910e-19    287.74 0 
   284.32 1.2791e-19    293.09 0 
   290.28 1.3210e-19    299.23 0 
   295.67 1.4451e-19    304.79 0 
   301.17 1.5132e-19    310.46 0 
   308.19 1.6630e-19    317.69 0 
   318.28 1.8919e-19    328.10 0 
   327.95 2.0936e-19    338.06 0 
   337.92 2.2798e-19    348.34 0 
   348.19 2.4654e-19    358.92 0 
   357.12 2.6540e-19    368.13 0 
   366.28 2.8900e-19    377.57 0 
   374.81 3.0612e-19    386.37 0 
   385.31 3.1470e-19    397.19 0 
   395.20 3.4825e-19    407.38 0 
   405.33 3.7488e-19    417.83 0 
   413.82 3.9075e-19    426.58 0 
   421.51 4.0077e-19    434.51 0 
   430.34 4.1295e-19    443.61 0 
   441.38 4.3944e-19    454.99 0 
   450.62 4.5488e-19    464.52 0 
   460.06 4.6440e-19    474.24 0 
   469.69 4.8183e-19    484.17 0 
   479.53 5.0454e-19    494.31 0 
   489.57 5.0804e-19    504.66 0 
   499.82 5.3690e-19    515.23 0 
   505.61 5.4437e-19    521.19 0 
   511.46 6.9967e-19    527.23 0 
   519.77 7.2426e-19    535.80 0 
   529.43 7.4971e-19    545.76 0 
   540.52 7.4113e-19    557.19 0 
   550.57 8.7881e-19    567.54 0 
   559.52 9.9976e-19    576.77 0 
   569.92 1.1140e-18    587.49 0 
   580.51 1.1038e-18    598.41 0 
   589.95 1.2969e-18    608.13 0 
   599.53 1.3517e-18    618.02 0 
   610.68 1.4959e-18    629.51 0 
   620.60 1.7616e-18    639.73 0 
   630.68 1.9182e-18    650.13 0 
   639.46 1.9719e-18    659.17 0 
   649.85 2.2433e-18    669.88 0 
   657.37 2.4260e-18    677.64 0 
   664.99 2.5816e-18    685.49 0 
   674.24 2.6357e-18    695.02 0 
   685.19 2.6479e-18    706.32 0 
   694.72 3.4506e-18    716.14 0 
   704.39 3.3566e-18    726.11 0 
   715.83 4.0541e-18    737.90 0 
   725.79 4.2845e-18    748.17 0 
   734.20 4.5175e-18    756.83 0 
   744.41 5.1987e-18    767.36 0 
   754.77 5.6610e-18    778.04 0 
   765.27 6.0519e-18    788.86 0 
   774.13 6.7437e-18    797.99 0 
   784.90 7.3773e-18    809.10 0 
   795.82 7.8144e-18    820.35 0 
   805.03 8.2774e-18    829.85 0 
   814.35 8.7075e-18    839.46 0 
   825.68 9.7251e-18    851.14 0 
   835.24 7.9414e-18    860.99 0 
   844.91 1.0493e-17    870.96 0 
   854.70 1.0937e-17    881.05 0 
   864.59 1.1992e-17    891.25 0 
   874.61 1.3089e-17    901.57 0 
   884.73 1.4518e-17    912.01 0 
   894.98 1.5556e-17    922.57 0 
   905.34 1.5592e-17    933.25 0 
   915.82 2.5757e-17    944.06 0 
   924.30 1.9856e-16    952.80 0 
   935.00 4.4555e-16    963.83 0 
   945.83 8.7075e-16    974.99 0 
   954.58 1.2791e-15    984.01 0 
   965.63 1.3896e-15    995.41 0 
   974.57 1.9948e-16   1004.62 0 
   985.85 1.0837e-15   1016.25 0 
   994.98 1.2385e-15   1025.65 0 
  1004.18 1.9719e-15   1035.14 0 
  1015.81 1.9629e-15   1047.13 0 
  1025.21 8.6476e-16   1056.82 0 
  1034.70 1.3179e-15   1066.60 0 
  1044.27 2.7472e-15   1076.47 0 
  1053.93 2.7158e-15   1086.43 0 
  1066.14 2.0601e-15   1099.01 0 
  1076.00 2.5521e-15   1109.18 0 
  1085.96 1.9404e-15   1119.44 0 
  1096.00 2.7663e-15   1129.80 0 
  1106.15 2.6724e-15   1140.25 0 
  1113.81 2.5462e-15   1148.15 0 
  1124.12 2.2693e-15   1158.78 0 
  1134.52 3.0683e-15   1169.50 0 
  1145.02 2.7727e-15   1180.32 0 
  1155.61 3.0262e-15   1191.24 0 
  1166.31 3.1397e-15   1202.26 0 
  1174.39 2.0696e-15   1210.60 0 
  1185.26 3.0895e-15   1221.80 0 
  1196.22 1.9902e-15   1233.11 0 
  1204.52 1.3517e-15   1241.65 0 
  1215.66 1.0137e-15   1253.14 0 
  1224.09 2.1374e-15   1261.83 0 
  1235.41 3.4268e-15   1273.50 0 
  1243.98 3.8097e-15   1282.33 0 
  1255.49 3.6049e-15   1294.20 0 
  1264.19 3.0402e-15   1303.17 0 
  1275.89 4.1390e-15   1315.22 0 
  1284.73 4.4045e-15   1324.34 0 
  1293.64 3.3029e-15   1333.52 0 
  1305.61 3.2726e-15   1345.86 0 
  1314.66 4.3341e-15   1355.19 0 
  1323.77 4.1390e-15   1364.58 0 
  1336.02 3.5719e-15   1377.21 0 
  1345.28 4.4761e-15   1386.76 0 
  1354.60 4.3441e-15   1396.37 0 
