# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   100.06 2.7598e-24    102.80 0 
   101.92 4.0438e-24    104.71 0 
   104.05 5.3913e-24    106.91 0 
   105.99 7.3385e-24    108.89 0 
   107.96 1.0128e-23    110.92 0 
   109.96 1.6048e-23    112.98 0 
   114.09 2.7054e-23    117.22 0 
   118.10 4.2565e-23    121.34 0 
   121.13 1.6554e-22    124.45 0 
   125.10 2.4251e-22    128.53 0 
   127.13 2.8552e-22    130.62 0 
   128.01 3.1375e-22    131.52 0 
   130.99 3.9215e-22    134.59 0 
   131.90 4.7578e-22    135.52 0 
   134.04 5.4615e-22    137.72 0 
   136.85 7.6064e-22    140.60 0 
   140.04 9.2477e-22    143.88 0 
   142.97 2.5698e-21    146.89 0 
   146.98 6.7253e-21    151.01 0 
   151.09 8.2134e-21    155.24 0 
   154.97 1.0101e-20    159.22 0 
   158.94 1.2364e-20    163.31 0 
   161.90 1.4257e-20    166.34 0 
   166.05 1.7371e-20    170.61 0 
   169.92 2.0637e-20    174.58 0 
   173.08 2.3524e-20    177.83 0 
   177.11 2.7626e-20    181.97 0 
   179.99 3.1130e-20    184.93 0 
   182.07 3.3658e-20    187.07 0 
   185.89 3.9076e-20    190.99 0 
   191.09 4.6738e-20    196.34 0 
   194.20 5.2183e-20    199.53 0 
   197.81 5.9478e-20    203.24 0 
   201.95 6.7946e-20    207.49 0 
   205.23 7.4647e-20    210.86 0 
   210.01 8.3137e-20    215.77 0 
   215.90 1.0316e-19    221.82 0 
   219.91 1.1570e-19    225.94 0 
   222.97 1.2393e-19    229.09 0 
   227.11 1.3899e-19    233.35 0 
   229.74 2.2074e-19    236.05 0 
   234.02 3.9598e-19    240.44 0 
   240.02 5.3260e-19    246.60 0 
   246.18 5.5095e-19    252.93 0 
   251.91 6.3073e-19    258.82 0 
   257.18 5.6572e-19    264.24 0 
   260.16 6.7680e-19    267.30 0 
   263.78 7.4352e-19    271.02 0 
   269.31 7.8711e-19    276.69 0 
   274.31 8.2947e-19    281.84 0 
   278.77 8.7215e-19    286.42 0 
   283.95 9.1696e-19    291.74 0 
   289.90 9.2699e-19    297.85 0 
   295.97 9.9722e-19    304.09 0 
   300.78 1.0270e-18    309.03 0 
   307.78 1.1021e-18    316.23 0 
   317.87 1.2155e-18    326.59 0 
   328.28 1.3040e-18    337.29 0 
   338.26 1.3830e-18    347.54 0 
   347.73 1.4567e-18    357.27 0 
   356.65 1.5309e-18    366.44 0 
   365.80 1.6089e-18    375.84 0 
   375.18 1.6714e-18    385.48 0 
   384.81 1.6851e-18    395.37 0 
   394.68 1.7996e-18    405.51 0 
   404.80 1.8737e-18    415.91 0 
   414.23 1.9242e-18    425.60 0 
   421.93 1.9538e-18    433.51 0 
   429.78 1.9839e-18    441.57 0 
   440.80 2.0512e-18    452.90 0 
   451.07 2.0822e-18    463.45 0 
   460.52 2.1090e-18    473.15 0 
   470.16 2.1410e-18    483.06 0 
   480.00 2.1885e-18    493.17 0 
   490.06 2.1912e-18    503.50 0 
   500.32 2.2397e-18    514.04 0 
   506.11 2.2486e-18    520.00 0 
   511.97 2.3968e-18    526.02 0 
   520.29 2.4168e-18    534.56 0 
   529.96 2.4254e-18    544.50 0 
   539.82 2.3951e-18    554.63 0 
   549.85 2.4538e-18    564.94 0 
   560.07 2.5489e-18    575.44 0 
   570.49 2.6234e-18    586.14 0 
   579.76 2.6027e-18    595.66 0 
   590.53 2.6848e-18    606.74 0 
