# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.09 5.5588e-21    104.71 0 
   103.98 6.9021e-21    106.66 0 
   105.92 8.7494e-21    108.64 0 
   107.89 1.1350e-20    110.66 0 
   109.89 1.6595e-20    112.72 0 
   114.02 2.4377e-20    116.95 0 
   118.02 3.3650e-20    121.06 0 
   121.05 1.3427e-19    124.17 0 
   125.02 1.7258e-19    128.23 0 
   127.05 1.8836e-19    130.32 0 
   127.93 2.0090e-19    131.22 0 
   130.91 2.2593e-19    134.28 0 
   132.12 2.6976e-19    135.52 0 
   133.96 2.8839e-19    137.40 0 
   137.08 3.7323e-19    140.60 0 
   139.95 4.1303e-19    143.55 0 
   142.88 1.1587e-18    146.55 0 
   146.88 2.8773e-18    150.66 0 
   151.00 3.1621e-18    154.88 0 
   154.87 3.5074e-18    158.85 0 
   158.84 3.9172e-18    162.93 0 
   162.17 4.2071e-18    166.34 0 
   165.94 4.6879e-18    170.22 0 
   169.81 5.0931e-18    174.18 0 
   172.97 5.4448e-18    177.42 0 
   177.00 5.8882e-18    181.55 0 
   179.87 6.2227e-18    184.50 0 
   181.95 6.4711e-18    186.64 0 
   186.19 6.9499e-18    190.99 0 
   190.97 7.5680e-18    195.88 0 
   194.07 8.0164e-18    199.07 0 
   198.14 8.4914e-18    203.24 0 
   201.82 9.0569e-18    207.01 0 
   205.10 9.4837e-18    210.38 0 
   209.88 9.7270e-18    215.28 0 
   215.76 1.1015e-17    221.31 0 
   219.77 1.1668e-17    225.42 0 
   222.82 1.1967e-17    228.56 0 
   226.97 1.2676e-17    232.81 0 
   230.12 1.9814e-17    236.05 0 
   233.86 3.3418e-17    239.88 0 
   239.86 4.4976e-17    246.04 0 
   246.02 4.2460e-17    252.35 0 
   251.75 4.6664e-17    258.23 0 
   257.02 3.8017e-17    263.63 0 
   259.99 4.6342e-17    266.69 0 
   264.22 4.9429e-17    271.02 0 
   269.13 4.9886e-17    276.06 0 
   274.13 5.0001e-17    281.19 0 
   279.23 5.0348e-17    286.42 0 
   283.77 5.0697e-17    291.07 0 
   289.71 4.8638e-17    297.17 0 
   295.78 4.9543e-17    303.39 0 
   301.28 4.8527e-17    309.03 0 
   308.29 4.9886e-17    316.23 0 
   317.66 5.1878e-17    325.84 0 
   328.07 5.2117e-17    336.51 0 
   338.04 5.1758e-17    346.74 0 
   348.31 5.1166e-17    357.27 0 
   357.24 5.1166e-17    366.44 0 
   366.41 5.2237e-17    375.84 0 
   374.94 5.1520e-17    384.59 0 
   384.56 4.8976e-17    394.46 0 
   395.33 5.1166e-17    405.51 0 
   404.54 5.2117e-17    414.95 0 
   413.96 5.1166e-17    424.62 0 
   421.66 4.9657e-17    432.51 0 
   430.49 4.8751e-17    441.57 0 
   440.52 4.8976e-17    451.86 0 
   450.78 4.7971e-17    462.38 0 
   460.22 4.6236e-17    472.06 0 
   469.85 4.5602e-17    481.95 0 
   479.69 4.5918e-17    492.04 0 
   489.74 4.3349e-17    502.34 0 
   499.99 4.4564e-17    512.86 0 
   505.78 4.2362e-17    518.80 0 
   511.64 4.6449e-17    524.81 0 
   519.95 4.5497e-17    533.33 0 
   529.62 4.3750e-17    543.25 0 
   539.46 4.0736e-17    553.35 0 
   549.49 3.9535e-17    563.64 0 
   559.71 4.1398e-17    574.12 0 
   570.12 4.2656e-17    584.79 0 
   579.38 4.1303e-17    594.29 0 
   590.15 4.0924e-17    605.34 0 
   599.74 3.7496e-17    615.18 0 
   609.49 3.2283e-17    625.17 0 
   619.39 3.8903e-17    635.33 0 
   629.45 3.7237e-17    645.65 0 
   639.68 3.8017e-17    656.15 0 
   650.07 3.6642e-17    666.81 0 
   657.60 3.4752e-17    674.53 0 
   665.22 3.6139e-17    682.34 0 
   674.47 3.6306e-17    691.83 0 
   685.43 3.3035e-17    703.07 0 
   694.97 3.4832e-17    712.85 0 
   704.63 3.0973e-17    722.77 0 
   716.08 3.4039e-17    734.51 0 
   726.04 3.3572e-17    744.73 0 
