# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.03 2.5404e-24    102.80 0 
   103.92 3.2501e-24    104.71 0 
   106.10 4.3043e-24    106.91 0 
   108.07 5.7531e-24    108.89 0 
   110.08 9.6806e-24    110.92 0 
   113.95 1.5809e-23    114.82 0 
   117.95 2.4149e-23    118.85 0 
   120.98 7.7429e-23    121.90 0 
   124.94 1.1746e-22    125.89 0 
   126.97 1.4286e-22    127.94 0 
   128.15 1.5809e-22    129.12 0 
   131.13 2.0697e-22    132.13 0 
   132.04 2.4317e-22    133.05 0 
   133.88 2.8834e-22    134.90 0 
   137.00 3.9802e-22    138.04 0 
   139.86 5.0922e-22    140.93 0 
   143.12 9.4168e-22    144.21 0 
   147.13 1.7414e-21    148.25 0 
   150.91 2.3276e-21    152.05 0 
   155.13 3.1039e-21    156.31 0 
   159.11 4.0917e-21    160.32 0 
   162.07 5.0107e-21    163.31 0 
   165.85 6.4998e-21    167.11 0 
   170.10 8.2966e-21    171.40 0 
   172.87 9.9289e-21    174.18 0 
   176.89 1.2471e-20    178.24 0 
   180.18 1.4720e-20    181.55 0 
   181.85 1.6440e-20    183.23 0 
   186.08 2.0272e-20    187.50 0 
   190.86 2.6056e-20    192.31 0 
   193.96 3.0262e-20    195.43 0 
   198.02 3.6551e-20    199.53 0 
   202.17 4.3843e-20    203.70 0 
   204.98 4.9992e-20    206.54 0 
   210.24 6.0104e-20    211.84 0 
   216.13 7.9050e-20    217.77 0 
   220.14 9.2662e-20    221.82 0 
   223.21 1.0325e-19    224.91 0 
   226.83 1.2020e-19    228.56 0 
   229.99 1.9360e-19    231.74 0 
   234.27 3.4348e-19    236.05 0 
   240.27 4.8406e-19    242.10 0 
   245.87 5.3815e-19    247.74 0 
   252.18 6.3959e-19    254.10 0 
   256.87 5.9966e-19    258.82 0 
   259.84 7.3774e-19    261.82 0 
   264.06 8.2966e-19    266.07 0 
   268.97 9.1391e-19    271.02 0 
   273.97 9.9977e-19    276.06 0 
   279.07 1.0887e-18    281.19 0 
   284.25 1.1882e-18    286.42 0 
   290.21 1.2557e-18    292.42 0 
   296.28 1.4090e-18    298.54 0 
   301.10 1.4754e-18    303.39 0 
   308.11 1.6592e-18    310.46 0 
   318.21 1.9404e-18    320.63 0 
   327.87 2.1974e-18    330.37 0 
   337.84 2.4542e-18    340.41 0 
   348.10 2.7221e-18    350.75 0 
   357.03 2.9847e-18    359.75 0 
   366.19 3.2727e-18    368.98 0 
   374.72 3.5310e-18    377.57 0 
   385.22 3.7317e-18    388.15 0 
   395.10 4.1391e-18    398.11 0 
   405.24 4.4658e-18    408.32 0 
   413.72 4.7413e-18    416.87 0 
   422.38 4.9648e-18    425.60 0 
   430.24 5.1868e-18    433.51 0 
   441.27 5.5578e-18    444.63 0 
   450.51 5.8466e-18    453.94 0 
   459.95 6.0940e-18    463.45 0 
   469.58 6.3812e-18    473.15 0 
   480.52 6.6973e-18    484.17 0 
   489.45 6.9327e-18    493.17 0 
   499.70 7.2762e-18    503.50 0 
   505.48 7.6719e-18    509.33 0 
   512.52 9.5258e-18    516.42 0 
   519.65 9.8153e-18    523.60 0 
   530.53 1.0184e-17    534.56 0 
   540.39 1.0278e-17    544.50 0 
   550.44 1.1426e-17    554.63 0 
   559.38 1.2615e-17    563.64 0 
   569.78 1.3549e-17    574.12 0 
   580.37 1.3643e-17    584.79 0 
   589.80 1.4993e-17    594.29 0 
   599.39 1.5378e-17    603.95 0 
   610.53 1.6252e-17    615.18 0 
   620.45 1.8617e-17    625.17 0 
   630.53 1.9629e-17    635.33 0 
   639.30 2.0413e-17    644.17 0 
   649.69 2.2075e-17    654.64 0 
   658.73 2.2956e-17    663.74 0 
   664.83 2.4373e-17    669.88 0 
   675.63 2.5404e-17    680.77 0 
   685.03 2.5580e-17    690.24 0 
   694.56 2.9916e-17    699.84 0 
   704.22 2.9370e-17    709.58 0 
   715.66 3.4190e-17    721.11 0 
   725.62 3.5884e-17    731.14 0 
   735.71 3.7489e-17    741.31 0 
   744.23 4.0917e-17    749.89 0 
   754.58 4.3441e-17    760.33 0 
   765.08 4.5489e-17    770.90 0 
   775.73 4.9648e-17    781.63 0 
   784.71 5.3444e-17    790.68 0 
   795.62 5.6221e-17    801.68 0 
   804.84 5.9143e-17    810.96 0 
   814.16 6.1788e-17    820.35 0 
   825.48 6.7128e-17    831.76 0 
   835.04 6.0800e-17    841.40 0 
   844.71 7.2762e-17    851.14 0 
   854.49 7.6191e-17    860.99 0 
   864.39 8.1828e-17    870.96 0 
   874.40 8.7479e-17    881.05 0 
   884.52 9.4385e-17    891.25 0 
   894.76 9.9977e-17    901.57 0 
   905.12 1.0278e-16    912.01 0 
   915.60 1.5378e-16    922.57 0 
   924.08 9.3090e-16    931.11 0 
   934.78 2.0460e-15    941.89 0 
   945.60 4.0635e-15    952.80 0 
   954.35 5.7004e-15    961.61 0 
   965.40 7.0130e-15    972.75 0 
   974.33 1.5485e-15    981.75 0 
   985.62 7.4285e-15    993.12 0 
   994.74 7.4800e-15   1002.31 0 
  1003.94 9.6361e-15   1011.58 0 
  1015.57 8.8085e-15   1023.29 0 
  1024.96 3.5473e-15   1032.76 0 
  1034.45 6.8850e-15   1042.32 0 
  1044.02 1.2187e-14   1051.96 0 
  1056.11 1.2328e-14   1064.14 0 
  1065.88 1.0639e-14   1073.99 0 
  1075.74 1.2328e-14   1083.93 0 
  1085.70 1.0590e-14   1093.96 0 
  1095.74 1.2969e-14   1104.08 0 
  1105.88 1.2674e-14   1114.29 0 
  1116.11 1.2645e-14   1124.61 0 
  1123.85 1.1773e-14   1132.40 0 
  1134.25 1.3896e-14   1142.88 0 
  1144.74 1.2939e-14   1153.45 0 
  1155.34 1.3611e-14   1164.13 0 
  1166.03 1.4187e-14   1174.90 0 
  1174.11 1.0962e-14   1183.04 0 
  1184.97 1.3801e-14   1193.99 0 
  1195.94 1.0373e-14   1205.04 0 
  1204.23 7.9965e-15   1213.39 0 
  1215.37 4.2063e-15   1224.62 0 
  1223.79 9.3090e-15   1233.11 0 
  1235.12 1.3706e-14   1244.51 0 
  1243.68 1.5307e-14   1253.14 0 
  1255.19 1.5202e-14   1264.74 0 
  1263.89 1.3580e-14   1273.50 0 
  1275.58 1.6669e-14   1285.29 0 
  1284.42 1.7454e-14   1294.20 0 
  1296.31 1.5202e-14   1306.17 0 
  1305.29 1.5028e-14   1315.22 0 
  1314.34 1.7697e-14   1324.34 0 
  1326.50 1.7294e-14   1336.60 0 
  1335.70 1.6103e-14   1345.86 0 
  1344.96 1.8109e-14   1355.19 0 
  1354.28 1.7820e-14   1364.58 0 
  1363.67 1.6630e-14   1374.04 0 
  1376.28 1.7294e-14   1386.76 0 
  1385.82 1.7656e-14   1396.37 0 
  1395.43 1.6103e-14   1406.05 0 
  1405.10 1.6707e-14   1415.79 0 
  1414.84 1.7096e-14   1425.61 0 
  1424.65 1.7334e-14   1435.49 0 
  1434.52 1.7334e-14   1445.44 0 
  1441.15 1.8151e-14   1452.11 0 
  1447.80 1.8361e-14   1458.81 0 
  1454.48 1.8109e-14   1465.55 0 
  1464.56 1.7254e-14   1475.71 0 
  1474.71 1.7215e-14   1485.94 0 
  1484.94 1.7414e-14   1496.24 0 
  1495.23 1.7697e-14   1506.61 0 
  1505.59 1.7215e-14   1517.05 0 
  1512.54 1.5918e-14   1524.05 0 
  1516.03 1.6746e-14   1527.57 0 
  1526.54 1.6402e-14   1538.15 0 
  1533.58 1.4993e-14   1545.25 0 
  1544.22 1.6140e-14   1555.97 0 
  1554.92 1.5414e-14   1566.75 0 
  1565.70 1.5628e-14   1577.61 0 
  1576.55 1.6554e-14   1588.55 0 
  1583.83 1.7175e-14   1595.88 0 
  1594.81 1.7656e-14   1606.94 0 
  1605.86 1.7175e-14   1618.08 0 
  1613.27 1.7254e-14   1625.55 0 
  1624.46 1.6592e-14   1636.82 0 
  1635.72 1.7414e-14   1648.16 0 
  1643.27 1.7697e-14   1655.77 0 
  1654.66 1.6554e-14   1667.25 0 
  1666.13 1.8026e-14   1678.80 0 
  1673.82 1.6478e-14   1686.55 0 
  1677.68 1.8277e-14   1690.44 0 
  1685.42 1.8876e-14   1698.24 0 
  1693.20 1.7985e-14   1706.08 0 
  1704.94 1.7575e-14   1717.91 0 
  1716.75 1.7254e-14   1729.82 0 
  1724.68 1.7215e-14   1737.80 0 
  1736.63 1.8193e-14   1749.85 0 
  1744.65 1.7861e-14   1757.92 0 
  1756.74 1.8919e-14   1770.11 0 
  1764.85 1.7414e-14   1778.28 0 
  1773.00 1.8235e-14   1786.49 0 
  1785.29 1.8446e-14   1798.87 0 
  1793.53 1.9584e-14   1807.17 0 
  1805.96 1.9404e-14   1819.70 0 
  1814.30 1.8660e-14   1828.10 0 
  1826.87 1.8746e-14   1840.77 0 
  1835.30 1.8319e-14   1849.27 0 
  1843.78 1.7018e-14   1857.80 0 
