Wavelength	BA RSR [watts]	stdev(RSR)
1515	-0.000016	0.000046
1516	0.000067	0.000155
1517	0.000151	0.000264
1518	0.000249	0.000315
1519	0.000348	0.000355
1520	0.000466	0.000451
1521	0.000585	0.000556
1522	0.000758	0.000546
1523	0.000932	0.000514
1524	0.00115		0.000486
1525	0.001369	0.000458
1526	0.001613	0.000467
1527	0.001859	0.000485
1528	0.002172	0.000522
1529	0.002488	0.000564
1530	0.002881	0.000577
1531	0.003277	0.000585
1532	0.003772	0.000613
1533	0.004271	0.000644
1534	0.004898	0.000708
1535	0.005528	0.000777
1536	0.006421	0.000866
1537	0.007319	0.000958
1538	0.008459	0.001027
1539	0.009606	0.001093
1540	0.010989	0.001211
1541	0.012372	0.001335
1542	0.014303	0.001563
1543	0.016248	0.00181
1544	0.019029	0.002097
1545	0.021831	0.00239
1546	0.02589		0.002807
1547	0.029952	0.003242
1548	0.035171	0.003783
1549	0.040434	0.004346
1550	0.047864	0.005106
1551	0.055352	0.005904
1552	0.065732	0.00694
1553	0.076166	0.008018
1554	0.089024	0.009263
1555	0.101893	0.010535
1556	0.12015		0.012195
1557	0.138642	0.01394
1558	0.163127	0.016013
1559	0.187803	0.018152
1560	0.220261	0.020623
1561	0.252894	0.023155
1562	0.291359	0.025655
1563	0.329939	0.02815
1564	0.375648	0.030539
1565	0.42147		0.032911
1566	0.47356		0.034399
1567	0.525681	0.035761
1568	0.578787	0.036445
1569	0.631645	0.037039
1570	0.676683	0.036885
1571	0.721282	0.036641
1572	0.75477		0.036419
1573	0.788248	0.0362
1574	0.821155	0.035596
1575	0.854065	0.034925
1576	0.87337		0.034948
1577	0.89183		0.035139
1578	0.899817	0.03545
1579	0.907252	0.03579
1580	0.913009	0.035712
1581	0.918685	0.035542
1582	0.922953	0.035156
1583	0.927163	0.034724
1584	0.92686		0.034222
1585	0.926413	0.033706
1586	0.925059	0.033002
1587	0.923683	0.032261
1588	0.923953	0.031328
1589	0.924259	0.030358
1590	0.922828	0.029627
1591	0.921383	0.028939
1592	0.922061	0.028202
1593	0.922756	0.027457
1594	0.924648	0.026995
1595	0.926605	0.026579
1596	0.934552	0.025261
1597	0.942525	0.023804
1598	0.944351	0.022906
1599	0.945872	0.022135
1600	0.946175	0.021942
1601	0.946432	0.021875
1602	0.947006	0.021696
1603	0.947589	0.021493
1604	0.950194	0.020646
1605	0.952859	0.019671
1606	0.951303	0.019684
1607	0.94967		0.01988
1608	0.953047	0.019013
1609	0.956494	0.017959
1610	0.959047	0.017091
1611	0.961545	0.016268
1612	0.960048	0.015908
1613	0.958335	0.015656
1614	0.959835	0.015412
1615	0.96147		0.015171
1616	0.960857	0.015212
1617	0.960175	0.01531
1618	0.960813	0.015383
1619	0.961486	0.015452
1620	0.964703	0.01474
1621	0.967943	0.013896
1622	0.969314	0.013496
1623	0.970589	0.013199
1624	0.973713	0.012518
1625	0.976906	0.011756
1626	0.9791		0.011003
1627	0.981258	0.010251
1628	0.981285	0.009611
1629	0.981372	0.008991
1630	0.988609	0.006777
1631	0.995869	0.004322
1632	0.998021	0.003536
1633	1.0		0.003091
1634	0.999848	0.003227
1635	0.999642	0.003468
1636	0.99659		0.004207
1637	0.993439	0.005025
1638	0.986217	0.007026
1639	0.978989	0.009186
1640	0.967125	0.011401
1641	0.95512		0.013627
1642	0.936199	0.016461
1643	0.917239	0.01939
1644	0.879424	0.023739
1645	0.840967	0.028379
1646	0.796545	0.03171
1647	0.751893	0.03481
1648	0.694313	0.037056
1649	0.636542	0.039176
1650	0.573232	0.039551
1651	0.509946	0.039712
1652	0.451966	0.03776
1653	0.39403		0.035456
1654	0.34275		0.032309
1655	0.291752	0.028982
1656	0.251309	0.025491
1657	0.211153	0.02197
1658	0.180823	0.019144
1659	0.15054		0.016426
1660	0.128463	0.013903
1661	0.106664	0.011419
1662	0.090735	0.009561
1663	0.074941	0.007811
1664	0.06379		0.006535
1665	0.052752	0.005326
1666	0.045028	0.004448
1667	0.03731		0.003609
1668	0.031821	0.00305
1669	0.02635		0.002537
1670	0.022504	0.002155
1671	0.018724	0.001801
1672	0.016045	0.001555
1673	0.013394	0.00133
1674	0.011483	0.001168
1675	0.009587	0.001016
1676	0.008227	0.00091
1677	0.006882	0.00081
1678	0.00591		0.000778
1679	0.00494		0.000753
1680	0.004257	0.000729
1681	0.003576	0.000706
1682	0.003055	0.000672
1683	0.002541	0.000634
1684	0.00216		0.000601
1685	0.001781	0.000568
1686	0.001512	0.000576
1687	0.001244	0.00059
1688	0.00104		0.000579
1689	0.000837	0.000565
1690	0.000677	0.000556
1691	0.000517	0.000548
1692	0.000409	0.000527
1693	0.000301	0.000504
1694	0.000206	0.000554
1695	0.000112	0.000621
1696	0.00004		0.000626
1697	-0.000031	0.000619
