# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.04 9.0342e-26    102.33 0 
   103.94 1.3980e-25    104.23 0 
   106.11 2.1883e-25    106.41 0 
   108.09 3.4811e-25    108.39 0 
   110.10 6.1706e-25    110.41 0 
   113.96 1.3322e-24    114.29 0 
   117.97 2.6473e-24    118.30 0 
   121.00 1.3250e-23    121.34 0 
   124.96 2.3520e-23    125.31 0 
   126.99 3.0134e-23    127.35 0 
   127.87 3.4664e-23    128.23 0 
   131.15 4.8892e-23    131.52 0 
   132.06 6.2671e-23    132.43 0 
   133.90 7.7751e-23    134.28 0 
   137.02 1.2362e-22    137.40 0 
   139.88 1.6732e-22    140.28 0 
   143.14 5.8332e-22    143.55 0 
   147.15 1.9060e-21    147.57 0 
   150.93 2.6386e-21    151.36 0 
   155.16 3.6522e-21    155.60 0 
   159.14 5.0093e-21    159.59 0 
   162.10 6.2689e-21    162.55 0 
   165.87 8.5006e-21    166.34 0 
   170.13 1.1159e-20    170.61 0 
   172.89 1.3711e-20    173.38 0 
   176.92 1.7672e-20    177.42 0 
   180.21 2.1263e-20    180.72 0 
   181.87 2.4005e-20    182.39 0 
   186.11 3.0371e-20    186.64 0 
   190.88 4.0227e-20    191.43 0 
   193.99 4.7633e-20    194.54 0 
   198.05 5.8493e-20    198.61 0 
   202.20 7.1991e-20    202.77 0 
   205.01 8.3507e-20    205.59 0 
   209.78 1.0111e-19    210.38 0 
   216.16 1.3884e-19    216.77 0 
   220.18 1.6623e-19    220.80 0 
   223.24 1.8625e-19    223.87 0 
   226.87 2.2150e-19    227.51 0 
   230.02 3.7046e-19    230.67 0 
   233.76 6.9983e-19    234.42 0 
   239.76 1.0418e-18    240.44 0 
   245.91 1.1576e-18    246.60 0 
   252.21 1.4431e-18    252.93 0 
   256.90 1.3657e-18    257.63 0 
   259.88 1.7130e-18    260.62 0 
   264.10 1.9765e-18    264.85 0 
   269.01 2.2126e-18    269.77 0 
   274.01 2.4598e-18    274.79 0 
   279.11 2.7344e-18    279.90 0 
   284.30 3.0256e-18    285.10 0 
   290.25 3.2404e-18    291.07 0 
   296.33 3.6929e-18    297.17 0 
   301.14 3.9938e-18    302.00 0 
   308.16 4.5809e-18    309.03 0 
   318.25 5.5321e-18    319.15 0 
   327.92 6.4403e-18    328.85 0 
   337.89 7.3936e-18    338.84 0 
   348.15 8.3896e-18    349.14 0 
   357.08 9.3733e-18    358.10 0 
   366.24 1.0519e-17    367.28 0 
   374.77 1.1567e-17    375.84 0 
   385.27 1.2389e-17    386.37 0 
   395.16 1.4157e-17    396.28 0 
   405.29 1.5734e-17    406.44 0 
   413.78 1.6946e-17    414.95 0 
   422.45 1.7833e-17    423.64 0 
   430.30 1.8862e-17    431.52 0 
   441.34 2.0665e-17    442.59 0 
   450.58 2.1993e-17    451.86 0 
   460.01 2.3029e-17    461.32 0 
   469.65 2.4446e-17    470.98 0 
   479.48 2.6248e-17    480.84 0 
   489.52 2.7036e-17    490.91 0 
   499.77 2.9157e-17    501.19 0 
   505.56 2.9342e-17    506.99 0 
   511.41 3.2376e-17    512.86 0 
   519.72 3.3529e-17    521.19 0 
   530.60 3.4519e-17    532.11 0 
   540.47 3.4746e-17    542.00 0 
   550.52 3.6200e-17    552.08 0 
   559.46 3.9241e-17    561.05 0 
   569.86 4.2117e-17    571.48 0 
   580.46 4.2965e-17    582.10 0 
   589.89 4.5188e-17    591.56 0 
   599.47 4.4658e-17    601.17 0 
   610.62 4.1727e-17    612.35 0 
   620.54 5.0257e-17    622.30 0 
   630.62 5.1279e-17    632.41 0 
   639.40 5.3699e-17    641.21 0 
   649.79 5.5033e-17    651.63 0 
   657.31 5.5325e-17    659.17 0 
   664.92 5.8236e-17    666.81 0 
   675.73 6.0220e-17    677.64 0 
   685.13 5.8559e-17    687.07 0 
   694.66 6.4925e-17    696.63 0 
   704.32 6.1972e-17    706.32 0 
   715.76 6.9432e-17    717.79 0 
   725.72 7.1328e-17    727.78 0 
   735.82 7.3100e-17    737.90 0 
   744.34 7.5672e-17    746.45 0 
   754.69 7.8077e-17    756.83 0 
   765.19 7.4656e-17    767.36 0 
   775.84 8.3669e-17    778.04 0 
   784.82 8.4615e-17    787.05 0 
   795.74 8.8688e-17    797.99 0 
   804.95 9.1766e-17    807.24 0 
   814.27 9.4289e-17    816.58 0 
   825.60 9.9256e-17    827.94 0 
   835.16 8.6590e-17    837.53 0 
   844.83 1.0307e-16    847.23 0 
   854.62 1.0490e-16    857.04 0 
   864.51 1.1051e-16    866.96 0 
   874.52 1.1587e-16    877.00 0 
   884.65 1.2260e-16    887.16 0 
   894.89 1.2735e-16    897.43 0 
   905.25 1.2689e-16    907.82 0 
   915.74 1.8024e-16    918.33 0 
   924.21 1.0087e-15    926.83 0 
   934.91 2.1633e-15    937.56 0 
   945.74 4.1727e-15    948.42 0 
   954.49 6.2407e-15    957.19 0 
   965.54 6.4337e-15    968.28 0 
   974.47 9.6653e-16    977.24 0 
   985.76 4.5853e-15    988.55 0 
   994.88 5.6501e-15    997.70 0 
  1004.09 9.6320e-15   1006.93 0 
  1015.71 9.8344e-15   1018.59 0 
  1025.11 4.5221e-15   1028.02 0 
  1034.60 6.3373e-15   1037.53 0 
  1044.17 1.4042e-14   1047.13 0 
  1053.83 1.3961e-14   1056.82 0 
  1066.03 1.0110e-14   1069.05 0 
  1075.90 1.2918e-14   1078.95 0 
  1085.85 9.4314e-15   1088.93 0 
  1095.90 1.4221e-14   1099.01 0 
  1106.04 1.3748e-14   1109.18 0 
  1116.27 1.2869e-14   1119.44 0 
  1124.01 1.1337e-14   1127.20 0 
  1134.41 1.6096e-14   1137.63 0 
  1144.91 1.4451e-14   1148.15 0 
  1155.50 1.5997e-14   1158.78 0 
  1166.19 1.6564e-14   1169.50 0 
  1174.28 1.0470e-14   1177.61 0 
  1185.14 1.6331e-14   1188.50 0 
  1196.11 9.9313e-15   1199.50 0 
  1204.40 6.3934e-15   1207.81 0 
  1215.54 5.4533e-15   1218.99 0 
  1223.97 1.1490e-14   1227.44 0 
  1235.29 1.8975e-14   1238.80 0 
  1243.86 2.1125e-14   1247.38 0 
  1255.37 1.9705e-14   1258.93 0 
  1264.07 1.6411e-14   1267.65 0 
  1275.76 2.3005e-14   1279.38 0 
  1284.61 2.4678e-14   1288.25 0 
  1293.51 1.7570e-14   1297.18 0 
  1305.48 1.7392e-14   1309.18 0 
  1314.53 2.4030e-14   1318.26 0 
  1323.64 2.2810e-14   1327.39 0 
  1335.89 1.9080e-14   1339.68 0 
  1345.15 2.4940e-14   1348.96 0 
  1354.47 2.4108e-14   1358.31 0 
  1363.86 2.0769e-14   1367.73 0 
  1376.48 2.2372e-14   1380.38 0 
  1386.02 2.2692e-14   1389.95 0 
  1395.63 1.9499e-14   1399.59 0 
  1405.30 2.0376e-14   1409.29 0 
