# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
   102.03 1.2906e-20    102.33 0 
   103.93 1.6741e-20    104.23 0 
   106.10 2.2171e-20    106.41 0 
   108.08 2.9839e-20    108.39 0 
   110.09 4.5163e-20    110.41 0 
   113.96 7.1579e-20    114.29 0 
   117.96 1.0636e-19    118.30 0 
   120.99 4.3530e-19    121.34 0 
   124.95 5.9537e-19    125.31 0 
   126.98 6.7265e-19    127.35 0 
   127.86 7.2742e-19    128.23 0 
   131.14 8.5662e-19    131.52 0 
   132.05 1.0370e-18    132.43 0 
   133.89 1.1450e-18    134.28 0 
   137.00 1.5409e-18    137.40 0 
   139.87 1.7774e-18    140.28 0 
   143.13 5.2455e-18    143.55 0 
   147.14 1.4151e-17    147.57 0 
   150.92 1.6210e-17    151.36 0 
   155.14 1.8741e-17    155.60 0 
   159.12 2.1766e-17    159.59 0 
   162.08 2.4032e-17    162.55 0 
   165.86 2.7848e-17    166.34 0 
   170.11 3.1317e-17    170.61 0 
   172.88 3.4418e-17    173.38 0 
   176.90 3.8529e-17    177.42 0 
   180.19 4.1763e-17    180.72 0 
   181.86 4.4034e-17    182.39 0 
   186.09 4.8841e-17    186.64 0 
   190.87 5.5181e-17    191.43 0 
   193.97 5.9812e-17    194.54 0 
   198.03 6.5281e-17    198.61 0 
   202.18 7.1579e-17    202.77 0 
   204.99 7.6522e-17    205.59 0 
   209.77 8.0870e-17    210.38 0 
   216.14 9.5233e-17    216.77 0 
   220.16 1.0323e-16    220.80 0 
   223.22 1.0784e-16    223.87 0 
   226.85 1.1689e-16    227.51 0 
   230.00 1.8484e-16    230.67 0 
   233.74 3.1680e-16    234.42 0 
   239.74 4.2052e-16    240.44 0 
