#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
1000.0000          0.00      5.87e-17      4.20e-06         0.0      1.81e-13         2.72         3.90
1001.1765          0.00      1.69e-13      4.20e-06         1.3      6.36e-17         2.72         3.90
1002.3530          0.00      3.42e-13      4.20e-06         2.6      3.18e-17         2.72         3.89
1003.5294          0.00      5.20e-13      4.20e-06         3.9      2.11e-17         2.72         3.89
1004.7059          0.00      7.01e-13      4.20e-06         5.2      1.58e-17         2.72         3.88
1005.8823          0.00      8.88e-13      4.20e-06         6.6      1.27e-17         2.72         3.88
1007.0588          0.00      1.08e-12      4.20e-06         7.9      1.05e-17         2.72         3.87
1008.2353          0.00      1.27e-12      4.20e-06         9.2      9.02e-18         2.71         3.87
1009.4117          0.00      1.47e-12      4.20e-06        10.5      7.89e-18         2.71         3.86
1010.5883          0.00      9.91e-12      4.20e-06        69.6      1.19e-18         2.71         3.86
1011.7647          0.00      2.69e-11      4.20e-06       186.5      4.42e-19         2.71         3.85
1012.9412          0.00      4.43e-11      4.20e-06       303.4      2.72e-19         2.71         3.85
1014.1177          0.00      6.21e-11      4.20e-06       420.3      1.96e-19         2.71         3.85
1015.2941          0.00      8.05e-11      4.20e-06       537.2      1.53e-19         2.71         3.84
1016.4706          0.00      9.92e-11      4.20e-06       654.1      1.26e-19         2.71         3.84
1017.6470          0.00      1.19e-10      4.20e-06       771.0      1.06e-19         2.71         3.83
1018.8235          0.00      1.38e-10      4.20e-06       887.9      9.23e-20         2.71         3.83
1020.0000          0.00      1.59e-10      4.20e-06      1004.8      8.15e-20         2.70         3.82
1021.1765          0.00      3.67e-10      4.20e-06      2297.7      3.56e-20         2.70         3.82
1022.3530          0.00      5.82e-10      4.20e-06      3590.6      2.27e-20         2.70         3.81
1023.5294          0.00      8.02e-10      4.20e-06      4883.5      1.67e-20         2.70         3.81
1024.7059          0.00      1.03e-09      4.20e-06      6176.4      1.32e-20         2.70         3.80
1025.8823          0.00      1.26e-09      4.20e-06      7469.2      1.09e-20         2.70         3.80
1027.0588          0.00      1.50e-09      4.20e-06      8762.1      9.28e-21         2.70         3.79
1028.2354          0.00      1.74e-09      4.20e-06     10055.0      8.08e-21         2.70         3.79
1029.4117          0.00      1.99e-09      4.20e-06     11347.8      7.15e-21         2.70         3.79
1030.5883          0.00      2.36e-09      4.20e-06     13223.1      6.13e-21         2.69         3.78
1031.7646          0.00      2.83e-09      4.20e-06     15680.5      5.16e-21         2.69         3.78
1032.9412          0.00      3.32e-09      4.20e-06     18138.1      4.46e-21         2.69         3.77
1034.1177          0.00      3.83e-09      4.20e-06     20595.7      3.92e-21         2.69         3.77
1035.2941          0.00      4.34e-09      4.20e-06     23053.0      3.50e-21         2.69         3.76
1036.4706          0.00      4.88e-09      4.20e-06     25510.6      3.16e-21         2.69         3.76
1037.6471          0.00      5.42e-09      4.20e-06     27968.2      2.88e-21         2.69         3.75
1038.8235          0.00      5.99e-09      4.20e-06     30425.6      2.65e-21         2.69         3.75
1040.0000          0.00      6.56e-09      4.20e-06     32883.2      2.45e-21         2.69         3.74
1041.1765          0.00      6.93e-09      4.20e-06     34230.7      2.35e-21         2.69         3.74
1042.3529          0.00      7.31e-09      4.20e-06     35578.1      2.26e-21         2.68         3.73
1043.5294          0.00      7.70e-09      4.20e-06     36925.5      2.17e-21         2.68         3.73
1044.7059          0.00      8.10e-09      4.20e-06     38273.0      2.09e-21         2.68         3.72
1045.8823          0.00      8.51e-09      4.20e-06     39620.4      2.02e-21         2.68         3.72
1047.0588          0.00      8.94e-09      4.20e-06     40967.9      1.95e-21         2.68         3.72
1048.2354          0.00      9.37e-09      4.20e-06     42315.4      1.89e-21         2.68         3.71
1049.4117          0.00      9.82e-09      4.20e-06     43662.8      1.83e-21         2.68         3.71
1050.5883          0.00      1.03e-08      4.20e-06     44896.1      1.77e-21         2.68         3.70
1051.7646          0.00      1.07e-08      4.20e-06     46015.3      1.73e-21         2.68         3.70
1052.9412          0.00      1.11e-08      4.20e-06     47134.6      1.69e-21         2.68         3.69
1054.1177          0.00      1.15e-08      4.20e-06     48253.9      1.65e-21         2.67         3.69
1055.2941          0.00      1.20e-08      4.20e-06     49373.1      1.61e-21         2.67         3.68
1056.4706          0.00      1.25e-08      4.20e-06     50492.4      1.57e-21         2.67         3.68
1057.6471          0.00      1.29e-08      4.20e-06     51611.7      1.53e-21         2.67         3.67
1058.8235          0.00      1.34e-08      4.20e-06     52730.9      1.50e-21         2.67         3.67
1060.0000          0.00      1.40e-08      4.20e-06     53850.2      1.47e-21         2.67         3.66
1061.1765          0.00      1.45e-08      4.20e-06     55237.9      1.43e-21         2.67         3.66
1062.3529          0.00      1.52e-08      4.20e-06     56625.5      1.39e-21         2.67         3.66
1063.5294          0.00      1.58e-08      4.20e-06     58013.3      1.36e-21         2.67         3.65
1064.7059          0.00      1.64e-08      4.20e-06     59401.0      1.33e-21         2.66         3.65
1065.8823          0.00      1.71e-08      4.20e-06     60788.6      1.29e-21         2.66         3.64
1067.0588          0.00      1.78e-08      4.20e-06     62176.4      1.26e-21         2.66         3.64
1068.2354          0.00      1.85e-08      4.20e-06     63564.1      1.23e-21         2.66         3.63
1069.4117          0.00      1.92e-08      4.20e-06     64951.7      1.21e-21         2.66         3.63
1070.5883          0.00      2.00e-08      4.20e-06     66385.0      1.18e-21         2.66         3.62
1071.7646          0.00      2.08e-08      4.20e-06     67863.6      1.15e-21         2.66         3.62
1072.9412          0.00      2.16e-08      4.20e-06     69342.4      1.13e-21         2.66         3.62
1074.1177          0.00      2.25e-08      4.20e-06     70821.2      1.10e-21         2.66         3.61
1075.2941          0.00      2.34e-08      4.20e-06     72299.8      1.08e-21         2.66         3.61
1076.4706          0.00      2.43e-08      4.20e-06     73778.6      1.06e-21         2.66         3.60
1077.6471          0.00      2.52e-08      4.20e-06     75257.4      1.04e-21         2.65         3.60
1078.8235          0.00      2.62e-08      4.20e-06     76736.0      1.01e-21         2.65         3.60
1080.0000          0.00      2.72e-08      4.20e-06     78214.8      9.95e-22         2.65         3.59
1081.1765          0.00      2.81e-08      4.20e-06     79479.9      9.78e-22         2.65         3.59
1082.3529          0.00      2.91e-08      4.20e-06     80744.8      9.62e-22         2.65         3.58
1083.5294          0.00      3.01e-08      4.20e-06     82009.9      9.46e-22         2.65         3.58
1084.7059          0.00      3.12e-08      4.20e-06     83275.0      9.31e-22         2.65         3.57
1085.8823          0.00      3.23e-08      4.20e-06     84539.9      9.16e-22         2.65         3.57
1087.0588          0.00      3.34e-08      4.20e-06     85805.0      9.02e-22         2.65         3.57
1088.2354          0.00      3.46e-08      4.20e-06     87070.1      8.88e-22         2.65         3.56
1089.4117          0.00      3.57e-08      4.20e-06     88335.1      8.75e-22         2.65         3.56
1090.5883          0.00      3.69e-08      4.20e-06     89454.2      8.63e-22         2.65         3.55
1091.7646          0.00      3.81e-08      4.20e-06     90427.3      8.53e-22         2.64         3.55
1092.9412          0.00      3.93e-08      4.20e-06     91400.5      8.44e-22         2.64         3.55
1094.1177          0.00      4.05e-08      4.20e-06     92373.7      8.34e-22         2.64         3.54
1095.2941          0.00      4.18e-08      4.20e-06     93346.9      8.25e-22         2.64         3.54
1096.4706          0.00      4.31e-08      4.20e-06     94320.1      8.16e-22         2.64         3.53
1097.6471          0.00      4.45e-08      4.20e-06     95293.3      8.07e-22         2.64         3.53
1098.8235          0.00      4.59e-08      4.20e-06     96266.4      7.98e-22         2.64         3.53
1100.0000          0.00      4.73e-08      4.20e-06     97239.6      7.89e-22         2.64         3.52
1101.1765          0.00      4.87e-08      4.20e-06     97802.4      7.84e-22         2.64         3.52
1102.3529          0.00      5.00e-08      4.20e-06     98365.1      7.79e-22         2.64         3.51
1103.5294          0.00      5.14e-08      4.20e-06     98927.9      7.74e-22         2.64         3.51
1104.7059          0.00      5.29e-08      4.20e-06     99490.6      7.69e-22         2.64         3.50
1105.8823          0.00      5.44e-08      4.20e-06    100053.4      7.64e-22         2.63         3.50
1107.0588          0.00      5.59e-08      4.20e-06    100616.1      7.59e-22         2.63         3.50
1108.2354          0.00      5.75e-08      4.20e-06    101178.9      7.55e-22         2.63         3.49
1109.4117          0.00      5.92e-08      4.20e-06    101741.6      7.50e-22         2.63         3.49
1110.5883          0.00      6.09e-08      4.20e-06    102183.0      7.46e-22         2.63         3.48
1111.7646          0.00      6.25e-08      4.20e-06    102503.0      7.44e-22         2.63         3.48
1112.9412          0.00      6.42e-08      4.20e-06    102823.0      7.41e-22         2.63         3.48
1114.1177          0.00      6.60e-08      4.20e-06    103143.0      7.38e-22         2.63         3.47
1115.2941          0.00      6.78e-08      4.20e-06    103463.0      7.35e-22         2.63         3.47
1116.4706          0.00      6.97e-08      4.20e-06    103783.0      7.32e-22         2.63         3.46
1117.6471          0.00      7.17e-08      4.20e-06    104103.0      7.30e-22         2.63         3.46
1118.8235          0.00      7.38e-08      4.20e-06    104423.0      7.27e-22         2.62         3.46
1120.0000          0.00      7.59e-08      4.20e-06    104743.0      7.25e-22         2.62         3.45
1121.1765          0.00      7.79e-08      4.20e-06    104843.4      7.23e-22         2.62         3.45
1122.3529          0.00      8.01e-08      4.20e-06    104943.7      7.22e-22         2.62         3.44
1123.5294          0.00      8.23e-08      4.20e-06    105044.1      7.21e-22         2.62         3.44
1124.7058          0.00      8.46e-08      4.20e-06    105144.4      7.20e-22         2.62         3.43
1125.8823          0.00      8.70e-08      4.20e-06    105244.8      7.19e-22         2.62         3.43
1127.0588          0.00      8.95e-08      4.20e-06    105345.1      7.18e-22         2.62         3.43
1128.2354          0.00      9.21e-08      4.20e-06    105445.5      7.17e-22         2.62         3.42
1129.4117          0.00      9.49e-08      4.20e-06    105545.8      7.16e-22         2.62         3.42
1130.5883          0.00      9.76e-08      4.20e-06    105579.5      7.16e-22         2.62         3.41
1131.7646          0.00      1.00e-07      4.20e-06    105546.4      7.16e-22         2.62         3.41
1132.9412          0.00      1.03e-07      4.20e-06    105513.4      7.16e-22         2.61         3.41
1134.1177          0.00      1.06e-07      4.20e-06    105480.3      7.16e-22         2.61         3.40
1135.2941          0.00      1.10e-07      4.20e-06    105447.2      7.16e-22         2.61         3.40
1136.4706          0.00      1.13e-07      4.20e-06    105414.2      7.16e-22         2.61         3.39
1137.6471          0.00      1.17e-07      4.20e-06    105381.1      7.16e-22         2.61         3.39
1138.8235          0.00      1.20e-07      4.20e-06    105348.1      7.16e-22         2.61         3.39
1140.0000          0.00      1.24e-07      4.20e-06    105315.0      7.16e-22         2.61         3.38
1141.1765          0.00      1.28e-07      4.20e-06    105194.1      7.17e-22         2.61         3.38
1142.3529          0.00      1.32e-07      4.20e-06    105073.1      7.17e-22         2.61         3.38
1143.5294          0.00      1.37e-07      4.20e-06    104952.2      7.18e-22         2.61         3.37
1144.7058          0.00      1.41e-07      4.20e-06    104831.2      7.19e-22         2.61         3.37
1145.8823          0.00      1.46e-07      4.20e-06    104710.3      7.20e-22         2.61         3.37
1147.0588          0.00      1.51e-07      4.20e-06    104589.4      7.21e-22         2.61         3.36
1148.2354          0.00      1.56e-07      4.20e-06    104468.4      7.22e-22         2.61         3.36
1149.4117          0.00      1.62e-07      4.20e-06    104347.5      7.23e-22         2.61         3.36
1150.5883          0.00      1.68e-07      4.20e-06    104231.1      7.24e-22         2.60         3.35
1151.7646          0.00      1.74e-07      4.20e-06    104119.4      7.25e-22         2.60         3.35
1152.9412          0.00      1.80e-07      4.20e-06    104007.6      7.26e-22         2.60         3.35
1154.1177          0.00      1.87e-07      4.20e-06    103895.8      7.27e-22         2.60         3.34
1155.2941          0.00      1.95e-07      4.20e-06    103784.1      7.29e-22         2.60         3.34
1156.4706          0.00      2.02e-07      4.20e-06    103672.3      7.30e-22         2.60         3.34
1157.6471          0.00      2.11e-07      4.20e-06    103560.5      7.31e-22         2.60         3.33
1158.8235          0.00      2.20e-07      4.20e-06    103448.8      7.33e-22         2.60         3.33
1160.0000          0.00      2.29e-07      4.20e-06    103337.0      7.34e-22         2.60         3.32
1161.1765          0.00      2.39e-07      4.20e-06    103329.7      7.35e-22         2.60         3.32
1162.3529          0.00      2.50e-07      4.20e-06    103322.4      7.37e-22         2.60         3.32
1163.5294          0.00      2.62e-07      4.20e-06    103315.1      7.38e-22         2.60         3.31
1164.7058          0.00      2.74e-07      4.20e-06    103307.8      7.39e-22         2.60         3.31
1165.8823          0.00      2.88e-07      4.20e-06    103300.5      7.41e-22         2.60         3.31
1167.0588          0.00      3.02e-07      4.20e-06    103293.2      7.42e-22         2.59         3.30
1168.2354          0.00      3.17e-07      4.20e-06    103285.9      7.44e-22         2.59         3.30
1169.4117          0.00      3.34e-07      4.20e-06    103278.6      7.46e-22         2.59         3.30
1170.5883          0.00      3.52e-07      4.20e-06    103217.6      7.49e-22         2.59         3.29
1171.7646          0.00      3.71e-07      4.20e-06    103102.9      7.52e-22         2.59         3.29
1172.9412          0.00      3.91e-07      4.20e-06    102988.2      7.56e-22         2.59         3.29
1174.1177          0.00      4.14e-07      4.20e-06    102873.5      7.59e-22         2.59         3.28
1175.2941          0.00      4.38e-07      4.20e-06    102758.8      7.63e-22         2.59         3.28
