#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
2000.0000          9.00      4.17e-10      1.39e-06     19232.9      7.18e-22         1.63         1.75
2000.0695          9.00      4.18e-10      1.39e-06     19247.8      7.17e-22         1.63         1.75
2000.1390          9.00      4.20e-10      1.39e-06     19262.7      7.17e-22         1.63         1.75
2000.2085          9.00      4.21e-10      1.39e-06     19277.6      7.16e-22         1.63         1.75
2000.2781          9.00      4.22e-10      1.39e-06     19292.5      7.16e-22         1.63         1.75
2000.3475          9.00      4.23e-10      1.39e-06     19307.4      7.15e-22         1.63         1.75
2000.4171          9.00      4.24e-10      1.39e-06     19322.4      7.14e-22         1.63         1.75
2000.4866          9.00      4.25e-10      1.39e-06     19337.3      7.14e-22         1.63         1.75
2000.5562          9.00      4.26e-10      1.39e-06     19352.2      7.13e-22         1.63         1.75
2000.6256          9.00      4.27e-10      1.39e-06     19367.1      7.13e-22         1.63         1.75
2000.6952          9.00      4.28e-10      1.39e-06     19382.0      7.12e-22         1.63         1.75
2000.7646          9.00      4.30e-10      1.39e-06     19396.9      7.12e-22         1.63         1.75
2000.8342          9.00      4.31e-10      1.39e-06     19411.8      7.11e-22         1.63         1.75
2000.9037          9.00      4.32e-10      1.39e-06     19426.7      7.10e-22         1.63         1.75
2000.9733          9.00      4.33e-10      1.39e-06     19441.7      7.10e-22         1.63         1.75
2001.0427          9.00      4.34e-10      1.39e-06     19456.6      7.09e-22         1.63         1.75
2001.1123          9.00      4.35e-10      1.39e-06     19471.7      7.09e-22         1.63         1.75
2001.1818          9.00      4.36e-10      1.39e-06     19486.7      7.08e-22         1.63         1.75
2001.2513          9.00      4.37e-10      1.39e-06     19501.8      7.08e-22         1.63         1.75
2001.3208          9.00      4.39e-10      1.39e-06     19516.8      7.07e-22         1.63         1.75
2001.3904          9.00      4.40e-10      1.39e-06     19531.8      7.06e-22         1.63         1.75
2001.4598          9.00      4.41e-10      1.39e-06     19546.9      7.06e-22         1.63         1.75
2001.5294          9.00      4.42e-10      1.39e-06     19561.9      7.05e-22         1.63         1.75
2001.5989          9.00      4.43e-10      1.39e-06     19576.9      7.05e-22         1.63         1.75
2001.6685          9.00      4.44e-10      1.39e-06     19592.0      7.04e-22         1.63         1.75
2001.7379          9.00      4.45e-10      1.39e-06     19607.0      7.04e-22         1.63         1.75
2001.8075          9.00      4.47e-10      1.39e-06     19622.1      7.03e-22         1.63         1.75
2001.8770          9.00      4.48e-10      1.39e-06     19637.1      7.03e-22         1.63         1.75
