# cat cat_m83_master_may_21_2014.txt | awk '{print $1, $2, $3, $4, $12, $26, $29}' > cat_m83_master_may_21_2014.reduced.txt
 x   y     ra           dec       mv   mass  age 
470 884 204.2995206 -29.9014606 -4.785 8.46 10532.
530 1263 204.2987579 -29.8972489 -5.145 7.52 4924.4
576 1491 204.2981711 -29.8947228 -6.955 7.91 9201.
584 1113 204.2980633 -29.8989153 -5.464 7.76 2657.2
585 1668 204.2980495 -29.8927547 -6.069 7.22 5079.3
594 988 204.2979339 -29.9003098 -5.896 8.36 13395.8
624 1081 204.2975489 -29.8992772 -5.084 8.76 6246.1
664 2130 204.2970399 -29.8876234 -9.658 7.86 141724.7
672 2290 204.2969275 -29.885846 -5.993 7.54 5480.6
679 1949 204.2968472 -29.8896323 -5.461 7.7 1862.3
690 2319 204.2967029 -29.8855214 -6.824 7.81 9271.9
691 2365 204.2966939 -29.8850053 -5.434 7.86 2159.
743 2821 204.2960228 -29.8799418 -6.824 6.62 1796.5
747 1861 204.2959765 -29.8906056 -5.446 8.06 3416.2
760 2572 204.295805 -29.8827085 -5.863 7.76 8735.9
763 2349 204.2957723 -29.8851897 -6.048 7.81 4033.9
770 1418 204.2956801 -29.8955333 -6.881 7.7 11020.5
772 2638 204.2956506 -29.8819752 -6.413 8.01 18952.1
786 1303 204.2954756 -29.896814 -5.34 7.74 6329.2
796 1447 204.2953423 -29.8952042 -6.493 7.6 8260.8
801 1367 204.2952884 -29.8960961 -6.023 7.06 4112.2
802 2138 204.2952669 -29.8875334 -5.913 8.36 8018.4
805 1815 204.2952348 -29.8911166 -6.916 7.81 7977.9
806 872 204.2952133 -29.9015996 -5.86 6.46 1265.7
818 2880 204.295057 -29.8792881 -5.994 7.68 2965.4
822 2327 204.2950163 -29.8854263 -6.939 7.81 14665.3
838 2144 204.2948114 -29.8874622 -6.491 7.81 6066.4
838 2346 204.2948051 -29.8852162 -6.954 8.21 13698.4
841 2473 204.2947622 -29.8838136 -6.925 7.91 18116.6
841 919 204.2947655 -29.9010795 -5.548 7.7 2017.6
848 3391 204.2946802 -29.8736063 -9.263 7.46 59697.4
851 2248 204.2946338 -29.8863042 -6.15 8.21 6532.3
860 1949 204.294531 -29.8896261 -5.365 8.36 3608.2
861 1052 204.2945085 -29.8995985 -6.628 7.22 3733.6
862 2211 204.2944941 -29.8867224 -6.771 7.65 8922.9
863 2669 204.2944822 -29.8816331 -7.06 7.86 11513.4
878 2823 204.2942927 -29.8799246 -6.217 7.63 5209.
887 2880 204.2941725 -29.8792844 -7.354 7.86 40986.9
890 2675 204.294143 -29.8815689 -9.513 6.64 10332.4
894 3395 204.2940864 -29.8735679 -8.72 7.54 53401.4
895 2313 204.2940711 -29.8855822 -5.471 8.11 7491.4
896 1801 204.2940685 -29.8912709 -4.741 8.41 3273.
900 2635 204.2940047 -29.882008 -8.858 7.36 66233.7
902 3516 204.2939853 -29.8722238 -6.713 7.76 8903.2
904 3239 204.2939617 -29.8753001 -4.129 8.76 3687.5
904 2748 204.2939569 -29.8807486 -7.163 7.91 26905.2
904 1480 204.2939567 -29.8948366 -8.286 7.7 37903.6
913 2818 204.2938487 -29.8799784 -7.085 7.96 24815.6
916 2757 204.2938029 -29.8806507 -8.201 7.65 35320.3
917 3387 204.2937908 -29.8736539 -6.975 7.36 6496.5
919 1570 204.2937649 -29.893844 -5.353 8.26 3531.8
923 1598 204.2937223 -29.8935308 -7.762 8.06 69621.6
925 2131 204.2936875 -29.8876052 -4.825 9.06 9480.2
929 3523 204.2936415 -29.8721432 -6.724 7.14 10513.5
936 3903 204.2935405 -29.8679253 -4.918 8.11 3558.6
949 986 204.2933881 -29.9003276 -5.895 7.2 3142.2
949 1365 204.2933824 -29.8961174 -8.518 8.16 117011.8
951 3585 204.2933548 -29.8714542 -6.539 7.86 5973.7
954 3472 204.293313 -29.8727108 -8.073 8.06 54634.1
959 1040 204.2932644 -29.8997354 -5.722 6.62 514.7
960 3042 204.2932466 -29.8774866 -5.715 7.56 7757.
961 3947 204.2932211 -29.867431 -4.591 8.06 2345.2
964 1398 204.2931972 -29.8957507 -6.579 7.52 9665.8
972 3449 204.2930808 -29.8729594 -9.098 6.64 10637.5
974 3406 204.2930635 -29.8734396 -7.252 8.76 104735.2
976 1502 204.293041 -29.8945955 -6.324 6.6 1975.7
984 1821 204.2929348 -29.8910536 -5.783 7.74 6308.2
987 1463 204.2929039 -29.8950339 -6.808 7.58 7588.5
987 2891 204.2928967 -29.8791633 -6.074 7.74 11063.9
988 2070 204.2928813 -29.8882868 -5.309 7.86 3672.5
990 3731 204.2928519 -29.8698281 -6.387 8.36 13158.6
993 4212 204.2928216 -29.8644908 -4.788 8.31 3373.7
996 2897 204.2927792 -29.8790963 -6.108 7.54 12333.1
1006 1949 204.2926503 -29.8896263 -6.822 7.48 7196.2
1017 3072 204.2925047 -29.8771516 -5.722 7.96 13497.2
1018 4440 204.2924912 -29.8619586 -4.7 8.71 3359.4
1021 3572 204.2924552 -29.8715962 -4.924 7.86 3455.9
1024 2408 204.2924204 -29.8845349 -5.523 8.01 4124.9
1029 4321 204.2923546 -29.8632758 -5.456 8.31 4652.7
1029 1712 204.2923535 -29.8922634 -7.5 6.34 5414.3
1034 3236 204.2922929 -29.8753316 -6.352 6.56 910.9
1034 2412 204.2922941 -29.8844868 -5.361 8.21 3552.3
1034 4252 204.2922843 -29.8640394 -7.056 8.31 17027.2
1049 1726 204.2921077 -29.8921042 -6.73 6.2 4036.
1050 3776 204.2920811 -29.8693367 -4.578 7.96 2614.8
1051 2536 204.2920746 -29.8831049 -6.843 7.91 11133.6
1059 4631 204.2919743 -29.8598331 -7.33 7.68 13617.
1059 1838 204.2919743 -29.8908691 -6.014 7.7 3099.1
1070 3867 204.2918246 -29.8683167 -4.925 8.06 2521.8
1074 998 204.2917797 -29.9001939 -7.092 6.66 1465.5
1078 1963 204.2917286 -29.8894711 -6.238 8.26 7980.
1078 1488 204.2917283 -29.8947518 -5.656 8.16 6249.3
1079 1307 204.2917206 -29.8967653 -5.264 8.31 7891.2
1088 2817 204.2916045 -29.8799862 -5.472 8.71 20890.
1089 3915 204.2915873 -29.8677914 -4.862 8.71 7443.5
1092 2992 204.2915508 -29.8780371 -6.875 8.81 130724.3
1093 1194 204.2915374 -29.8980184 -5.062 7.86 1532.7
1094 3478 204.2915278 -29.8726455 -6.561 7.34 6531.8
1098 2327 204.2914741 -29.8854313 -5.716 8.16 7428.
1099 949 204.2914665 -29.9007389 -7.492 6.64 2031.8
1103 4544 204.2914055 -29.860796 -4.434 8.31 5543.5
1103 2240 204.2914064 -29.8863928 -5.527 8.21 4655.3
1112 2339 204.2912905 -29.8852939 -6.973 6.64 1336.
1114 4463 204.2912676 -29.8616975 -6.392 7.04 8407.5
1117 3689 204.2912305 -29.8702969 -5.188 8.56 4087.3
1130 3257 204.2910651 -29.8750998 -7.761 6.64 2603.
1131 3568 204.2910491 -29.8716406 -6.093 6.52 880.4
1142 1540 204.2909141 -29.8941798 -7.134 7.81 14714.
1142 2697 204.2909117 -29.8813223 -7.156 8.01 31499.
1146 4605 204.2908494 -29.8601208 -5.086 8.26 2455.6
1148 3767 204.2908288 -29.8694283 -3.928 8.51 3037.6
1149 3113 204.2908242 -29.8766988 -6.022 7.86 7965.4
1149 3244 204.2908228 -29.8752434 -6.496 7.81 7709.2
1153 3608 204.2907658 -29.8712005 -4.493 8.61 10161.2
1153 2028 204.2907663 -29.8887592 -8.116 7.28 40605.8
1161 3161 204.290664 -29.8761652 -7.484 7.86 14264.1
1164 3368 204.290624 -29.8738624 -8.342 8.16 46352.2
1172 1239 204.2905226 -29.897524 -9.565 6.64 12928.9
1177 3652 204.2904615 -29.8707083 -6.183 7.36 5315.7
1182 3218 204.2903959 -29.8755276 -6.781 7.63 9849.
1187 927 204.2903426 -29.9009925 -5.767 7.72 5415.7
1203 4211 204.2901312 -29.8645023 -5.839 6.36 602.4
1207 1301 204.2900802 -29.896829 -5.781 7.76 6403.7
1212 2002 204.29002 -29.8890378 -6.881 7.68 8006.5
1217 3692 204.2899409 -29.8702689 -7.197 7.52 28981.2
1219 3213 204.2899273 -29.8755845 -5.778 8.26 4644.7
1231 3508 204.2897658 -29.8723047 -5.695 7.96 13165.7
1242 3806 204.2896264 -29.8690025 -5.589 6.64 531.3
1251 4091 204.2895092 -29.8658287 -4.975 8.26 2217.
1251 3377 204.289508 -29.873761 -9.597 7.56 102012.8
1255 2886 204.2894649 -29.8792248 -7.157 6.64 1251.2
1257 3606 204.2894369 -29.8712233 -5.457 8.36 7495.6
1261 842 204.2893914 -29.9019327 -6.024 9.06 48539.6
1263 3440 204.2893641 -29.8730626 -6.098 8.51 8754.
1268 4027 204.2892915 -29.8665397 -6.623 6.64 680.3
1270 3362 204.2892736 -29.8739307 -7.336 8.26 41871.7
1270 1090 204.2892662 -29.8991728 -7.295 7.72 15550.2
1272 4589 204.2892457 -29.8602932 -5.47 8.31 11379.
1274 3320 204.2892233 -29.8744018 -6.533 7.24 2950.4
1279 1672 204.2891527 -29.8927133 -6.392 6.52 1749.5
1293 1171 204.2889783 -29.8982777 -7.056 7.86 17307.9
1297 4664 204.2889213 -29.8594627 -5.298 8.91 20881.5
1302 818 204.2888655 -29.9021991 -8.433 8.71 124743.9
1308 3389 204.2887755 -29.8736263 -8.257 7.81 32722.8
1311 3124 204.2887482 -29.8765748 -5.691 7.81 5225.5
1311 4395 204.2887424 -29.8624585 -5.353 8.36 4013.5
1312 3330 204.2887358 -29.8742926 -8.373 7.63 29996.6
1314 3749 204.2886988 -29.8696294 -5.947 8.66 9708.2
1336 4076 204.2884149 -29.8659985 -8.499 7.58 30199.3
1342 3135 204.2883487 -29.8764497 -6.084 8.31 7376.7
1346 830 204.2883043 -29.9020705 -7.21 7.86 25230.5
1351 4088 204.2882259 -29.8658673 -8.26 6.66 5435.7
1354 4009 204.2881902 -29.8667472 -7.992 7.58 16832.8
1355 2149 204.2881788 -29.8874144 -5.629 8.71 8889.9
1360 2495 204.2881135 -29.8835642 -4.615 8.61 11369.6
1361 4519 204.2880952 -29.861072 -5.236 7.7 3063.9
1366 906 204.2880358 -29.901216 -5.763 8.66 8690.8
1367 2013 204.2880312 -29.8889216 -5.691 8.46 7943.8
1370 791 204.2879881 -29.9024991 -5.626 8.06 6452.1
1371 4018 204.2879672 -29.8666387 -6.498 8.36 10244.5
1373 3542 204.2879449 -29.8719362 -6.049 7.12 6548.1
1373 4480 204.2879404 -29.8615103 -5.601 8.41 5079.5
1376 4052 204.2879044 -29.866262 -7.483 7.68 11686.4
1378 3349 204.2878907 -29.8740762 -6.663 6.64 1428.6
1378 1136 204.287894 -29.8986611 -6.346 7.86 8002.1
1383 1406 204.2878242 -29.8956689 -5.41 8.21 3115.7
1385 4157 204.2877955 -29.8650951 -7.839 7.76 17653.4
1393 3775 204.2876864 -29.869343 -4.011 8.51 5564.2
1394 3430 204.2876832 -29.8731722 -5.899 7.86 3726.4
1405 912 204.2875424 -29.9011551 -5.411 8.16 12768.8
1405 3068 204.2875326 -29.8772025 -6.332 8.71 15102.9
1412 3513 204.2874508 -29.8722489 -9.205 6.68 10132.5
1417 1354 204.2873832 -29.896241 -7.088 7.86 11814.2
1419 4283 204.2873608 -29.8636952 -5.286 8.11 3722.9
1423 2164 204.2873047 -29.8872409 -4.526 8.96 5942.
1425 3298 204.2872795 -29.8746439 -4.759 8.06 3079.1
1431 2040 204.287202 -29.8886173 -6.134 8.51 21847.7
1435 4116 204.2871536 -29.8655527 -6.561 7.04 5146.9
1438 1414 204.2871198 -29.895576 -7.046 8.36 17997.3
1440 767 204.2870894 -29.9027703 -5.599 7.06 4198.7
1441 4545 204.287074 -29.8607901 -5.071 8.26 3875.4
1456 837 204.2868934 -29.9019871 -5.097 8.41 12336.2
1464 3466 204.2867885 -29.872782 -7.595 6.64 2369.2
1470 3873 204.2867041 -29.8682533 -6.248 6.62 787.8
1471 987 204.2866986 -29.9003165 -5.454 8.51 4837.3
1477 3177 204.2866216 -29.8759852 -5.547 5.15 1907.
1478 4122 204.2866062 -29.8654914 -5.692 8.66 7676.1
1481 3498 204.2865668 -29.8724175 -6.621 7.76 6466.5
1486 3123 204.2865065 -29.876585 -7.564 7.68 13353.7
1487 3086 204.2864873 -29.877003 -6.439 6.64 1162.3
1489 4353 204.2864655 -29.8629199 -5.59 8.31 7061.6
1491 3421 204.2864409 -29.8732784 -5.773 7.56 6468.7
1506 3107 204.2862478 -29.8767703 -7.419 6.52 4248.
1506 1467 204.2862455 -29.8949826 -6.11 8.51 15020.5
1513 4414 204.2861491 -29.8622417 -5.784 8.21 5898.6
1514 3441 204.2861433 -29.8730585 -6.838 7.68 12314.1
1516 820 204.286124 -29.9021738 -8.239 8.06 35372.4
1516 1232 204.2861228 -29.8975941 -5.532 7.63 2191.1
1518 3565 204.2860903 -29.8716789 -8.726 6.64 6331.1
1531 957 204.2859325 -29.9006585 -6.242 7.91 12216.8
1541 4106 204.2857924 -29.8656649 -6.253 8.11 8065.7
1545 3301 204.2857494 -29.8746088 -7.891 7.68 17017.
1546 2808 204.2857341 -29.8800834 -4.892 8.21 4150.6
1553 4458 204.285645 -29.8617593 -6.733 8.31 12645.7
1554 1441 204.2856362 -29.8952733 -5.019 9.06 9502.9
1554 3285 204.2856294 -29.8747843 -7.986 7.68 47555.7
1558 1105 204.2855753 -29.8990059 -8.387 7.74 65461.9
1563 3424 204.2855138 -29.8732397 -6.271 7.34 11384.5
1566 1044 204.2854744 -29.899691 -4.651 8.26 7147.6
1579 3561 204.2853052 -29.8717255 -5.734 6.72 882.8
1584 3643 204.2852466 -29.8708143 -7.149 8.01 13747.3
1590 3691 204.2851694 -29.870273 -5.066 8.36 4649.1
1591 891 204.2851581 -29.9013861 -5.498 8.66 11554.2
1592 4469 204.2851422 -29.8616304 -5.627 8.41 10530.8
1594 3092 204.2851163 -29.8769313 -7.363 8.86 227424.
1596 4183 204.2850956 -29.864811 -5.141 8.66 8819.8
1608 4446 204.2849396 -29.8618911 -5.647 8.51 9246.2
1611 4437 204.2848974 -29.8619874 -5.631 8.21 3819.
1612 1776 204.2848835 -29.8915554 -5.532 8.71 10906.8
1621 863 204.2847725 -29.9017038 -5.323 8.91 12591.6
1622 1006 204.2847646 -29.9001053 -4.273 8.61 8297.5
1623 1338 204.2847533 -29.8964239 -5.307 8.26 3807.5
1627 1440 204.2846969 -29.8952929 -5.58 7.96 5850.6
