       WAVE        FLUX          ERROR       RMS 
      309.300  -0.00233000      2.75000      2.75000
      323.300      1.14000      1.09000      1.15000
      326.300      3.38000     0.882000     0.934000
      330.300      1.83000      1.10000      1.16000
      333.300      2.42000      1.42000      1.47000
      336.300      3.83000      1.51000      1.57000
      339.300      2.63000     0.559000     0.996000
      342.300      1.73000     0.581000     0.631000
      345.300      1.39000     0.514000     0.706000
      348.300      3.11000     0.674000     0.587000
      351.300      1.61000     0.560000     0.916000
      354.300      2.36000     0.615000     0.298000
      357.300      2.45000     0.491000     0.940000
      360.300      3.16000     0.689000     0.455000
      363.300      1.61000     0.487000     0.414000
      366.300      3.18000     0.994000     0.479000
      369.300      2.55000     0.823000     0.586000
      372.300      1.61000     0.514000     0.488000
      375.300      2.59000     0.577000     0.430000
      378.300      3.93000     0.783000      1.24000
      381.300      2.38000     0.528000     0.593000
      384.300      2.32000     0.476000     0.767000
      387.300      2.01000     0.469000     0.755000
      390.300      1.52000     0.460000     0.612000
      393.300      2.29000     0.569000     0.577000
      396.300      1.90000     0.449000     0.669000
      399.300      2.73000     0.563000     0.492000
      402.300      2.47000     0.636000     0.544000
      405.300      2.02000     0.491000     0.729000
      408.300      3.19000     0.635000     0.633000
      411.300      2.63000     0.535000     0.516000
      414.300      2.25000     0.483000     0.462000
      417.300      1.95000     0.439000     0.939000
      420.300      2.45000     0.484000     0.453000
      423.300      2.62000     0.455000     0.520000
      426.300      2.59000     0.380000     0.688000
      429.300      2.21000     0.541000     0.542000
      432.300      2.22000     0.487000     0.316000
      435.300      2.58000     0.566000     0.461000
      438.300      2.25000     0.382000     0.640000
      441.300      2.18000     0.365000     0.604000
      444.300      2.42000     0.348000     0.486000
      447.300      2.34000     0.349000     0.467000
      450.300      2.56000     0.454000     0.604000
      453.300      2.97000     0.385000     0.464000
      456.300      2.59000     0.399000     0.465000
      459.300      2.25000     0.346000     0.503000
      462.300      2.18000     0.362000     0.582000
      465.300      2.35000     0.351000     0.547000
      468.300      2.52000     0.386000     0.433000
      471.300      3.04000     0.403000     0.406000
      474.300      2.92000     0.366000     0.481000
      477.300      2.52000     0.436000     0.428000
      480.300      2.76000     0.487000     0.354000
      483.300      2.46000     0.586000     0.444000
      486.300      2.48000     0.436000     0.513000
      489.300      2.51000     0.424000     0.571000
      492.300      2.69000     0.392000     0.570000
      495.300      2.06000     0.426000     0.571000
      498.300      3.06000     0.651000     0.827000
      501.300      1.93000     0.440000     0.538000
      504.300      2.08000     0.452000     0.441000
      507.300      2.52000     0.537000     0.641000
      510.300      2.07000     0.471000     0.665000
      513.300      2.17000     0.484000     0.565000
      516.300      2.22000     0.523000     0.532000
      519.300      2.28000     0.562000     0.559000
      522.300      3.01000     0.624000     0.604000
      525.300      2.24000     0.391000     0.710000
      528.300      2.53000     0.573000     0.625000
      531.300      2.34000     0.457000     0.438000
      534.300      2.60000     0.542000     0.340000
      537.300      2.69000     0.543000     0.571000
      540.300      2.43000     0.514000     0.630000
      543.300      2.28000     0.505000     0.446000
      546.300      2.83000     0.550000     0.627000
      549.300      2.50000     0.556000     0.277000
      552.300      2.02000     0.447000     0.532000
      555.300      2.25000     0.501000     0.341000
      558.300      2.52000     0.502000     0.367000
      561.300      2.89000     0.531000     0.372000
      564.300      2.08000     0.493000     0.596000
      567.300      1.32000     0.313000     0.704000
      570.300      2.96000     0.510000     0.641000
      573.300      2.50000     0.525000     0.417000
      576.300      2.59000     0.418000     0.276000
      579.300      1.88000     0.335000     0.566000
      582.300      2.42000     0.413000     0.452000
      585.300      2.48000     0.456000     0.408000
      588.300      2.18000     0.401000     0.362000
      591.300      2.47000     0.463000     0.243000
      594.300      3.06000     0.554000     0.721000
      597.300      2.35000     0.309000     0.572000
      600.300      2.22000     0.311000     0.292000
      603.300      2.70000     0.331000     0.356000
      606.300      1.92000     0.228000     0.574000
      609.300      2.46000     0.296000     0.392000
      612.300      2.49000     0.344000     0.388000
      615.300      2.29000     0.331000     0.421000
      618.300      1.94000     0.314000     0.500000
      621.300      2.04000     0.370000     0.249000
      624.300      2.29000     0.387000     0.260000
      627.300      2.16000     0.341000     0.397000
      630.300      1.77000     0.284000     0.591000
      633.300      2.54000     0.392000     0.470000
      636.300      1.82000     0.292000     0.429000
      639.300      2.27000     0.311000     0.514000
      642.300      2.43000     0.412000     0.374000
      645.300      2.21000     0.383000     0.425000
      648.300      3.34000     0.522000      1.29000
      651.300      2.53000     0.353000     0.452000
      654.300      2.35000     0.318000     0.369000
      657.300      2.53000     0.329000     0.387000
      660.300      2.45000     0.318000     0.349000
      663.300      2.05000     0.284000     0.358000
      666.300      2.32000     0.265000     0.292000
      669.300      2.36000     0.262000     0.366000
      672.300      2.62000     0.278000     0.352000
      675.300      2.26000     0.239000     0.426000
      678.300      2.24000     0.261000     0.435000
      681.300      2.41000     0.248000     0.358000
      684.300      2.61000     0.267000     0.504000
      687.300      2.45000     0.253000     0.397000
      690.300      2.86000     0.273000     0.355000
      693.300      2.55000     0.254000     0.245000
      696.300      2.26000     0.233000     0.471000
      699.300      2.69000     0.240000     0.492000
      702.300      2.50000     0.238000     0.408000
      705.300      2.68000     0.235000     0.262000
      708.300      2.38000     0.250000     0.386000
      711.300      2.19000     0.257000     0.333000
      714.300      2.16000     0.240000     0.301000
      717.300      2.11000     0.213000     0.354000
      720.300      2.40000     0.265000     0.393000
      723.300      2.31000     0.264000     0.246000
      726.300      2.15000     0.247000     0.414000
      729.300      1.99000     0.224000     0.421000
      732.300      2.27000     0.256000     0.232000
      735.300      2.31000     0.240000     0.378000
      738.300      2.31000     0.255000     0.477000
      741.300      2.35000     0.247000     0.353000
      744.300      2.08000     0.232000     0.330000
      747.300      2.32000     0.246000     0.418000
      750.300      2.16000     0.233000     0.375000
      753.300      2.30000     0.230000     0.477000
      756.300      2.30000     0.217000     0.444000
      759.300      2.49000     0.224000     0.351000
      762.300      2.81000     0.251000     0.485000
      765.300      2.52000     0.234000     0.404000
      768.300      2.51000     0.215000     0.496000
      771.300      2.52000     0.231000     0.384000
      774.300      2.42000     0.202000     0.518000
      777.300      2.51000     0.200000     0.365000
      780.300      2.46000     0.175000     0.432000
      783.300      2.87000     0.196000     0.500000
      786.300      2.72000     0.193000     0.599000
      789.300      2.68000     0.190000     0.578000
      792.300      2.69000     0.186000     0.536000
      795.300      2.46000     0.176000     0.476000
      798.300      2.36000     0.171000     0.435000
      801.300      2.32000     0.159000     0.505000
      804.300      2.18000     0.148000     0.401000
      807.300      2.35000     0.160000     0.431000
      810.300      2.17000     0.148000     0.460000
      813.300      2.27000     0.153000     0.372000
      816.300      2.33000     0.161000     0.490000
      819.300      2.44000     0.174000     0.504000
      822.300      2.38000     0.162000     0.405000
      825.300      2.47000     0.178000     0.409000
      828.300      2.31000     0.171000     0.473000
      831.300      2.48000     0.164000     0.495000
      834.300      2.24000     0.142000     0.431000
      837.300      2.18000     0.128000     0.447000
      840.300      2.34000     0.138000     0.392000
      843.300      2.17000     0.129000     0.378000
      846.300      2.04000     0.126000     0.332000
      849.300      2.32000     0.137000     0.405000
      852.300      2.17000     0.126000     0.385000
      855.300      2.16000     0.122000     0.371000
      858.300      2.19000     0.121000     0.425000
      861.300      2.23000     0.124000     0.359000
      864.300      2.31000     0.122000     0.383000
      867.300      2.12000     0.111000     0.333000
      870.300      2.17000     0.111000     0.382000
      873.300      2.11000     0.117000     0.339000
      876.300      2.18000     0.120000     0.407000
      879.300      2.17000     0.112000     0.430000
      882.300      2.19000     0.115000     0.355000
      885.300      2.20000     0.111000     0.376000
      888.300      2.26000     0.117000     0.379000
      891.300      2.18000     0.106000     0.360000
      894.300      2.25000     0.106000     0.338000
      897.300      2.14000     0.103000     0.397000
      900.300      2.27000     0.101000     0.392000
      903.300      2.14000    0.0953000     0.396000
      906.300      2.26000    0.0977000     0.346000
      909.300      2.17000    0.0984000     0.414000
      912.300      2.31000     0.103000     0.429000
      915.300      2.34000     0.101000     0.397000
      918.300      2.21000    0.0912000     0.357000
      921.300      2.29000    0.0965000     0.417000
      924.300      2.35000    0.0926000     0.378000
      927.300      2.37000    0.0913000     0.337000
      930.300      2.26000    0.0885000     0.355000
      933.300      2.33000    0.0903000     0.343000
      936.300      2.40000    0.0900000     0.370000
      939.300      2.31000    0.0875000     0.395000
      942.300      2.33000    0.0852000     0.371000
      945.300      2.31000    0.0858000     0.387000
      948.300      2.38000    0.0861000     0.358000
      951.300      2.32000    0.0890000     0.375000
      954.300      2.20000    0.0814000     0.329000
      957.300      2.24000    0.0838000     0.336000
      960.300      2.27000    0.0803000     0.367000
      963.300      2.29000    0.0818000     0.330000
      966.300      2.26000    0.0779000     0.401000
      969.300      2.44000    0.0806000     0.397000
      972.300      2.44000    0.0750000     0.361000
      975.300      2.49000    0.0709000     0.378000
      978.300      2.58000    0.0750000     0.314000
      981.300      2.52000    0.0694000     0.344000
      984.300      2.48000    0.0696000     0.377000
      987.300      2.57000    0.0691000     0.380000
      990.300      2.49000    0.0639000     0.348000
      993.300      2.51000    0.0610000     0.389000
      996.300      2.50000    0.0630000     0.342000
      999.300      2.42000    0.0599000     0.319000
      1002.30      2.39000    0.0563000     0.359000
      1005.30      2.50000    0.0605000     0.359000
      1008.30      2.44000    0.0561000     0.361000
      1011.30      2.50000    0.0576000     0.432000
      1014.30      2.69000    0.0600000     0.412000
      1017.30      2.61000    0.0572000     0.465000
      1020.30      2.82000    0.0602000     0.779000
      1023.30      3.02000    0.0606000     0.507000
      1026.30      3.12000    0.0620000     0.494000
      1029.30      3.48000    0.0641000     0.532000
      1032.30      3.53000    0.0701000     0.696000
      1035.30      3.45000    0.0688000     0.673000
      1038.30      3.26000    0.0633000     0.642000
      1041.30      2.91000    0.0575000     0.550000
      1044.30      2.70000    0.0541000     0.423000
      1047.30      2.62000    0.0545000     0.460000
      1050.30      2.54000    0.0557000     0.335000
      1053.30      2.42000    0.0521000     0.332000
      1056.30      2.47000    0.0504000     0.334000
      1059.30      2.45000    0.0497000     0.345000
      1062.30      2.43000    0.0469000     0.325000
      1065.30      2.46000    0.0485000     0.333000
      1068.30      2.50000    0.0533000     0.397000
      1071.30      2.41000    0.0482000     0.371000
      1074.30      2.35000    0.0473000     0.340000
      1077.30      2.35000    0.0449000     0.352000
      1080.30      2.31000    0.0422000     0.339000
      1083.30      2.29000    0.0418000     0.332000
      1086.30      2.34000    0.0429000     0.345000
      1089.30      2.21000    0.0421000     0.284000
      1092.30      2.21000    0.0425000     0.341000
      1095.30      2.18000    0.0418000     0.292000
      1098.30      2.08000    0.0401000     0.303000
      1101.30      2.13000    0.0401000     0.283000
      1104.30      2.16000    0.0451000     0.318000
      1107.30      2.13000    0.0406000     0.307000
      1110.30      2.17000    0.0397000     0.288000
      1113.30      2.11000    0.0385000     0.329000
      1116.30      2.17000    0.0389000     0.306000
      1119.30      2.19000    0.0383000     0.292000
      1122.30      2.17000    0.0382000     0.335000
      1125.30      2.12000    0.0383000     0.351000
      1128.30      2.11000    0.0375000     0.314000
      1131.30      2.11000    0.0376000     0.301000
      1134.30      2.08000    0.0401000     0.316000
      1137.30      2.10000    0.0405000     0.304000
      1140.30      2.06000    0.0385000     0.271000
      1143.30      2.05000    0.0394000     0.346000
      1146.30      2.06000    0.0385000     0.275000
      1149.30      2.13000    0.0377000     0.298000
      1152.30      2.15000    0.0375000     0.289000
      1155.30      2.09000    0.0363000     0.316000
      1158.30      2.15000    0.0370000     0.301000
      1161.30      2.23000    0.0374000     0.315000
      1164.30      2.22000    0.0374000     0.351000
      1167.30      2.32000    0.0430000     0.471000
      1170.30      2.37000    0.0404000     0.329000
      1173.30      2.48000    0.0702000     0.381000
      1176.30      2.59000    0.0579000     0.446000
      1179.30      2.61000    0.0495000     0.430000
      1182.30      2.68000    0.0465000     0.451000
      1185.30      2.79000    0.0439000     0.550000
      1188.30      2.88000    0.0441000     0.622000
      1191.30      3.14000    0.0437000     0.716000
      1194.30      3.39000    0.0594000     0.916000
      1197.30      3.70000    0.0477000      1.12000
      1200.30      4.00000    0.0489000      1.64000
      1203.30      4.63000    0.0524000      2.21000
      1206.30      5.40000    0.0558000      2.69000
      1209.30      6.57000    0.0599000      1.67000
      1212.30      8.15000    0.0648000      2.00000
      1215.30      9.31000    0.0685000      3.51000
      1218.30      8.11000    0.0612000      2.82000
      1221.30      6.51000    0.0542000      1.77000
      1224.30      5.35000    0.0498000      1.15000
      1227.30      4.73000    0.0463000     0.773000
      1230.30      4.46000    0.0446000     0.648000
      1233.30      4.21000    0.0431000     0.583000
      1236.30      4.11000    0.0433000     0.641000
      1239.30      4.03000    0.0417000     0.690000
      1242.30      3.80000    0.0412000     0.648000
      1245.30      3.49000    0.0392000     0.604000
      1248.30      3.18000    0.0376000     0.521000
      1251.30      2.95000    0.0351000     0.508000
      1254.30      2.85000    0.0349000     0.494000
      1257.30      2.73000    0.0338000     0.499000
      1260.30      2.60000    0.0324000     0.427000
      1263.30      2.51000    0.0329000     0.404000
      1266.30      2.44000    0.0309000     0.357000
      1269.30      2.34000    0.0306000     0.335000
      1272.30      2.26000    0.0308000     0.299000
      1275.30      2.23000    0.0300000     0.313000
      1278.30      2.15000    0.0295000     0.312000
      1281.30      2.10000    0.0297000     0.290000
      1284.30      2.10000    0.0317000     0.279000
      1287.30      2.07000    0.0313000     0.286000
      1290.30      2.09000    0.0290000     0.276000
      1293.30      2.10000    0.0285000     0.251000
      1296.30      2.10000    0.0293000     0.256000
      1299.30      2.15000    0.0292000     0.239000
      1302.30      2.13000    0.0284000     0.231000
      1305.30      2.13000    0.0272000     0.253000
      1308.30      2.12000    0.0273000     0.263000
      1311.30      2.04000    0.0266000     0.235000
      1314.30      1.97000    0.0265000     0.265000
      1317.30      1.96000    0.0265000     0.243000
      1320.30      1.94000    0.0276000     0.252000
      1323.30      1.91000    0.0265000     0.242000
      1326.30      1.92000    0.0265000     0.256000
      1329.30      1.96000    0.0273000     0.258000
      1332.30      1.98000    0.0278000     0.281000
      1335.30      1.95000    0.0267000     0.259000
      1338.30      1.93000    0.0260000     0.252000
      1341.30      1.92000    0.0250000     0.255000
      1344.30      1.94000    0.0259000     0.275000
      1347.30      1.92000    0.0297000     0.271000
      1350.30      1.88000    0.0260000     0.258000
      1353.30      1.88000    0.0241000     0.268000
      1356.30      1.90000    0.0250000     0.258000
      1359.30      1.86000    0.0260000     0.262000
      1362.30      1.91000    0.0262000     0.257000
      1365.30      1.91000    0.0269000     0.233000
      1368.30      1.94000    0.0273000     0.252000
      1371.30      1.90000    0.0263000     0.259000
      1374.30      1.96000    0.0280000     0.260000
      1377.30      1.90000    0.0251000     0.279000
      1380.30      1.99000    0.0264000     0.270000
      1383.30      1.96000    0.0275000     0.285000
      1386.30      2.05000    0.0277000     0.268000
      1389.30      2.11000    0.0274000     0.273000
      1392.30      2.21000    0.0271000     0.263000
      1395.30      2.23000    0.0280000     0.237000
      1398.30      2.26000    0.0281000     0.247000
      1401.30      2.27000    0.0280000     0.283000
      1404.30      2.23000    0.0290000     0.283000
      1407.30      2.13000    0.0271000     0.258000
      1410.30      2.02000    0.0265000     0.239000
      1413.30      1.98000    0.0255000     0.243000
      1416.30      1.93000    0.0255000     0.234000
      1419.30      1.91000    0.0253000     0.252000
      1422.30      1.86000    0.0261000     0.238000
      1425.30      1.84000    0.0258000     0.231000
      1428.30      1.84000    0.0263000     0.225000
      1431.30      1.79000    0.0268000     0.238000
      1434.30      1.78000    0.0255000     0.222000
      1437.30      1.75000    0.0244000     0.229000
      1440.30      1.72000    0.0238000     0.227000
      1443.30      1.73000    0.0230000     0.250000
      1446.30      1.74000    0.0238000     0.232000
      1449.30      1.73000    0.0240000     0.249000
      1452.30      1.72000    0.0238000     0.235000
      1455.30      1.71000    0.0243000     0.236000
      1458.30      1.67000    0.0228000     0.235000
      1461.30      1.71000    0.0247000     0.238000
      1464.30      1.70000    0.0231000     0.222000
      1467.30      1.68000    0.0234000     0.241000
      1470.30      1.71000    0.0245000     0.228000
      1473.30      1.70000    0.0230000     0.226000
      1476.30      1.70000    0.0238000     0.229000
      1479.30      1.73000    0.0229000     0.230000
      1482.30      1.78000    0.0236000     0.207000
      1485.30      1.79000    0.0240000     0.200000
      1488.30      1.79000    0.0228000     0.226000
      1491.30      1.80000    0.0232000     0.212000
      1494.30      1.81000    0.0231000     0.229000
      1497.30      1.86000    0.0231000     0.210000
      1500.30      1.83000    0.0222000     0.246000
      1503.30      1.90000    0.0230000     0.212000
      1506.30      1.83000    0.0227000     0.274000
      1509.30      1.95000    0.0232000     0.266000
      1512.30      1.98000    0.0229000     0.290000
      1515.30      2.04000    0.0240000     0.317000
      1518.30      2.12000    0.0240000     0.328000
      1521.30      2.24000    0.0248000     0.345000
      1524.30      2.34000    0.0250000     0.382000
      1527.30      2.46000    0.0266000     0.470000
      1530.30      2.59000    0.0269000     0.595000
      1533.30      2.82000    0.0289000     0.731000
      1536.30      3.05000    0.0286000     0.871000
      1539.30      3.37000    0.0310000     0.967000
      1542.30      3.78000    0.0351000     0.824000
      1545.30      4.30000    0.0346000     0.767000
      1548.30      4.67000    0.0360000      1.16000
      1551.30      4.51000    0.0373000      1.28000
      1554.30      3.94000    0.0326000      1.04000
      1557.30      3.54000    0.0316000     0.882000
      1560.30      3.16000    0.0305000     0.686000
      1563.30      2.92000    0.0288000     0.554000
      1566.30      2.66000    0.0270000     0.447000
      1569.30      2.53000    0.0273000     0.420000
      1572.30      2.43000    0.0271000     0.351000
      1575.30      2.33000    0.0267000     0.315000
      1578.30      2.22000    0.0257000     0.317000
      1581.30      2.19000    0.0254000     0.304000
      1584.30      2.13000    0.0245000     0.264000
      1587.30      2.05000    0.0255000     0.266000
      1590.30      2.01000    0.0247000     0.245000
      1593.30      1.98000    0.0246000     0.249000
      1596.30      1.93000    0.0248000     0.226000
      1599.30      1.97000    0.0256000     0.232000
      1602.30      1.88000    0.0238000     0.217000
      1605.30      1.90000    0.0254000     0.206000
      1608.30      1.86000    0.0253000     0.209000
      1611.30      1.84000    0.0262000     0.182000
      1614.30      1.84000    0.0233000     0.237000
      1617.30      1.86000    0.0241000     0.199000
      1620.30      1.87000    0.0247000     0.193000
      1623.30      1.83000    0.0245000     0.202000
      1626.30      1.85000    0.0238000     0.194000
      1629.30      1.82000    0.0242000     0.215000
      1632.30      1.85000    0.0225000     0.208000
      1635.30      1.93000    0.0244000     0.218000
      1638.30      1.91000    0.0242000     0.222000
      1641.30      1.96000    0.0250000     0.234000
      1644.30      1.93000    0.0254000     0.226000
      1647.30      1.81000    0.0237000     0.206000
      1650.30      1.85000    0.0253000     0.209000
      1653.30      1.87000    0.0260000     0.393000
      1656.30      1.81000    0.0251000     0.184000
      1659.30      1.83000    0.0241000     0.201000
      1662.30      1.83000    0.0237000     0.206000
      1665.30      1.81000    0.0236000     0.195000
      1668.30      1.82000    0.0245000     0.224000
      1671.30      1.79000    0.0235000     0.202000
      1674.30      1.70000    0.0234000     0.194000
      1677.30      1.67000    0.0227000     0.196000
      1680.30      1.64000    0.0230000     0.190000
      1683.30      1.61000    0.0219000     0.193000
      1686.30      1.62000    0.0240000     0.207000
      1689.30      1.55000    0.0222000     0.192000
      1692.30      1.55000    0.0210000     0.193000
      1695.30      1.56000    0.0234000     0.217000
      1698.30      1.55000    0.0229000     0.183000
      1701.30      1.50000    0.0227000     0.179000
      1704.30      1.55000    0.0238000     0.210000
      1707.30      1.48000    0.0212000     0.199000
      1710.30      1.51000    0.0223000     0.203000
      1713.30      1.55000    0.0228000     0.201000
      1716.30      1.50000    0.0211000     0.193000
      1719.30      1.52000    0.0225000     0.180000
      1722.30      1.47000    0.0242000     0.192000
      1725.30      1.51000    0.0245000     0.200000
      1728.30      1.48000    0.0227000     0.170000
      1731.30      1.45000    0.0227000     0.179000
      1734.30      1.51000    0.0223000     0.199000
      1737.30      1.49000    0.0224000     0.211000
      1740.30      1.51000    0.0228000     0.195000
      1743.30      1.52000    0.0258000     0.195000
      1746.30      1.55000    0.0233000     0.182000
      1749.30      1.54000    0.0259000     0.217000
      1752.30      1.48000    0.0229000     0.174000
      1755.30      1.50000    0.0250000     0.199000
      1758.30      1.49000    0.0229000     0.173000
      1761.30      1.48000    0.0243000     0.190000
      1764.30      1.48000    0.0248000     0.175000
      1767.30      1.41000    0.0224000     0.183000
      1770.30      1.44000    0.0235000     0.177000
      1773.30      1.42000    0.0220000     0.186000
      1776.30      1.44000    0.0243000     0.199000
      1779.30      1.47000    0.0258000     0.224000
      1782.30      1.43000    0.0232000     0.193000
      1785.30      1.40000    0.0231000     0.172000
      1788.30      1.43000    0.0221000     0.172000
      1791.30      1.41000    0.0230000     0.174000
      1794.30      1.42000    0.0230000     0.175000
      1797.30      1.41000    0.0240000     0.195000
      1800.30      1.40000    0.0240000     0.169000
      1803.30      1.36000    0.0237000     0.224000
      1806.30      1.41000    0.0231000     0.188000
      1809.30      1.42000    0.0245000     0.196000
      1812.30      1.40000    0.0243000     0.183000
      1815.30      1.37000    0.0231000     0.180000
      1818.30      1.41000    0.0232000     0.185000
      1821.30      1.39000    0.0239000     0.172000
      1824.30      1.41000    0.0245000     0.172000
      1827.30      1.38000    0.0243000     0.189000
      1830.30      1.35000    0.0217000     0.186000
      1833.30      1.37000    0.0228000     0.178000
      1836.30      1.35000    0.0233000     0.190000
      1839.30      1.39000    0.0244000     0.175000
      1842.30      1.41000    0.0246000     0.191000
      1845.30      1.38000    0.0228000     0.183000
      1848.30      1.41000    0.0283000     0.209000
      1851.30      1.42000    0.0254000     0.220000
      1854.30      1.45000    0.0246000     0.204000
      1857.30      1.47000    0.0267000     0.211000
      1860.30      1.47000    0.0244000     0.171000
      1863.30      1.47000    0.0253000     0.207000
      1866.30      1.45000    0.0254000     0.199000
      1869.30      1.45000    0.0253000     0.188000
      1872.30      1.42000    0.0223000     0.209000
      1875.30      1.49000    0.0252000     0.214000
      1878.30      1.56000    0.0268000     0.208000
      1881.30      1.56000    0.0268000     0.223000
      1884.30      1.55000    0.0284000     0.240000
      1887.30      1.64000    0.0277000     0.228000
      1890.30      1.66000    0.0253000     0.217000
      1893.30      1.73000    0.0274000     0.237000
      1896.30      1.77000    0.0273000     0.280000
      1899.30      1.74000    0.0273000     0.308000
      1902.30      1.90000    0.0276000     0.222000
      1905.30      1.91000    0.0285000     0.261000
      1908.30      2.00000    0.0277000     0.308000
      1911.30      1.96000    0.0285000     0.299000
      1914.30      1.87000    0.0265000     0.282000
      1917.30      1.74000    0.0268000     0.218000
      1920.30      1.67000    0.0265000     0.242000
      1923.30      1.59000    0.0275000     0.212000
      1926.30      1.56000    0.0273000     0.235000
      1929.30      1.48000    0.0261000     0.205000
      1932.30      1.43000    0.0248000     0.201000
      1935.30      1.40000    0.0251000     0.184000
      1938.30      1.39000    0.0265000     0.181000
      1941.30      1.35000    0.0256000     0.188000
      1944.30      1.31000    0.0240000     0.193000
      1947.30      1.31000    0.0253000     0.202000
      1950.30      1.28000    0.0230000     0.210000
      1953.30      1.33000    0.0275000     0.213000
      1956.30      1.27000    0.0234000     0.191000
      1959.30      1.27000    0.0240000     0.166000
      1962.30      1.26000    0.0259000     0.170000
      1965.30      1.26000    0.0278000     0.188000
      1968.30      1.20000    0.0237000     0.179000
      1971.30      1.20000    0.0241000     0.152000
      1974.30      1.22000    0.0236000     0.168000
      1977.30      1.20000    0.0244000     0.168000
      1980.30      1.21000    0.0283000     0.170000
      1983.30      1.19000    0.0280000     0.198000
      1986.30      1.24000    0.0362000     0.210000
      1989.30      1.23000    0.0209000     0.168000
      1992.30      1.22000    0.0210000     0.159000
      1995.30      1.21000    0.0208000     0.153000
      1998.30      1.21000    0.0209000     0.147000
      2001.30      1.22000    0.0209000     0.153000
      2004.30      1.19000    0.0206000     0.151000
      2007.30      1.19000    0.0207000     0.153000
      2010.30      1.20000    0.0212000     0.153000
      2013.30      1.20000    0.0216000     0.157000
      2016.30      1.18000    0.0209000     0.154000
      2019.30      1.16000    0.0217000     0.153000
      2022.30      1.18000    0.0205000     0.165000
      2025.30      1.17000    0.0210000     0.153000
      2028.30      1.17000    0.0210000     0.152000
      2031.30      1.20000    0.0228000     0.156000
      2034.30      1.18000    0.0219000     0.150000
      2037.30      1.19000    0.0221000     0.142000
      2040.30      1.22000    0.0221000     0.177000
      2043.30      1.19000    0.0220000     0.152000
      2046.30      1.20000    0.0223000     0.164000
      2049.30      1.16000    0.0214000     0.164000
      2052.30      1.19000    0.0222000     0.145000
      2055.30      1.20000    0.0218000     0.157000
      2058.30      1.18000    0.0214000     0.155000
      2061.30      1.17000    0.0224000     0.179000
      2064.30      1.20000    0.0220000     0.157000
      2067.30      1.24000    0.0225000     0.160000
      2070.30      1.25000    0.0231000     0.157000
      2073.30      1.18000    0.0219000     0.157000
