Wavelength	BA RSR [watts]	stdev(RSR)
488	0.000216	0.000009
489	0.000514	0.000027
490	0.001013	0.000046
491	0.001587	0.000066
492	0.002619	0.000097
493	0.003841	0.000141
494	0.006195	0.000216
495	0.009003	0.000323
496	0.015515	0.000548
497	0.02327		0.000884
498	0.042723	0.001604
499	0.066556	0.00272
500	0.124269	0.004598
501	0.196006	0.00733
502	0.323232	0.009558
503	0.472496	0.011233
504	0.598302	0.010421
505	0.714816	0.006954
506	0.776009	0.004899
507	0.816555	0.004315
508	0.831881	0.004287
509	0.837994	0.004829
510	0.848975	0.004166
511	0.861668	0.002286
512	0.862705	0.001595
513	0.85964		0.002096
514	0.858532	0.002234
515	0.858244	0.001967
516	0.857148	0.00173
517	0.855759	0.001524
518	0.858455	0.001595
519	0.862834	0.001974
520	0.860609	0.002139
521	0.855993	0.002088
522	0.852785	0.00213
523	0.850183	0.002278
524	0.852788	0.002805
525	0.857317	0.003721
526	0.85913		0.003705
527	0.859876	0.002721
528	0.861508	0.00232
529	0.863494	0.00253
530	0.860265	0.002482
531	0.855102	0.00216
532	0.864423	0.0023
533	0.879249	0.002928
534	0.885593	0.003067
535	0.888663	0.002691
536	0.894758	0.002275
537	0.902017	0.001819
538	0.906294	0.001594
539	0.90929		0.001639
540	0.911734	0.001674
541	0.914		0.0017
542	0.909776	0.001653
543	0.902939	0.001525
544	0.908919	0.001433
545	0.919859	0.001378
546	0.92162		0.001345
547	0.919456	0.001336
548	0.91302		0.001375
549	0.905134	0.001459
550	0.892702	0.0024
551	0.878599	0.004241
552	0.876838	0.006588
553	0.879443	0.009441
554	0.878303	0.011268
555	0.875692	0.012001
556	0.872666	0.012395
557	0.869478	0.012407
558	0.875361	0.012392
559	0.884759	0.012347
560	0.889903	0.011148
561	0.893427	0.008766
562	0.885948	0.006155
563	0.874097	0.003295
564	0.875674	0.002312
565	0.882402	0.0033
566	0.891375	0.003455
567	0.901194	0.002769
568	0.903528	0.002786
569	0.902826	0.003574
570	0.907551	0.003546
571	0.91435		0.002651
572	0.914932	0.002279
573	0.91319		0.00245
574	0.915508	0.002367
575	0.919554	0.001993
576	0.920802	0.002057
577	0.92104		0.002559
578	0.924431	0.002878
579	0.929105	0.002996
580	0.930068	0.003054
581	0.929551	0.003046
582	0.937549	0.002999
583	0.948863	0.002911
584	0.947084	0.002632
585	0.940273	0.002149
586	0.940813	0.002061
587	0.944136	0.002383
588	0.945674	0.002551
589	0.946566	0.002561
590	0.942462	0.00295
591	0.936298	0.003762
592	0.939621	0.003904
593	0.946659	0.003321
594	0.942374	0.002938
595	0.933839	0.002761
596	0.93425		0.003171
597	0.93784		0.004165
598	0.940838	0.0045
599	0.943626	0.004136
600	0.952415	0.003642
601	0.963664	0.003004
602	0.967381	0.002662
603	0.968241	0.002632
604	0.968233	0.002537
605	0.967878	0.002371
606	0.965083	0.002321
607	0.961367	0.002391
608	0.957232	0.002436
609	0.952939	0.002453
610	0.949345	0.002518
611	0.946006	0.002636
612	0.948081	0.002829
613	0.952465	0.003107
614	0.954526	0.003507
615	0.955814	0.004024
616	0.959149	0.004383
617	0.963216	0.004587
618	0.964158	0.004622
619	0.963953	0.004482
620	0.965943	0.004226
621	0.968789	0.003844
622	0.972688	0.003425
623	0.977026	0.002962
624	0.978028	0.002787
625	0.977901	0.002889
626	0.974158	0.002954
627	0.969078	0.00298
628	0.969583	0.002901
629	0.972297	0.002707
630	0.972906	0.002704
631	0.972708	0.002901
632	0.969732	0.003063
633	0.96578		0.00319
634	0.965561	0.003194
635	0.966835	0.003066
636	0.966641	0.003067
637	0.965899	0.003201
638	0.972067	0.003304
639	0.981077	0.003371
640	0.980971	0.003302
641	0.977722	0.003104
642	0.974405	0.003772
643	0.971123	0.005336
644	0.963139	0.007107
645	0.95326		0.009106
646	0.953494	0.010159
647	0.957536	0.010217
648	0.963851	0.009039
649	0.970928	0.006629
650	0.969453	0.004949
651	0.96475		0.004032
652	0.966541	0.003782
653	0.970613	0.004182
654	0.973941	0.004183
655	0.977055	0.003778
656	0.982894	0.004268
657	0.98977		0.005697
658	0.988302	0.006769
659	0.983542	0.007457
660	0.987968	0.007264
661	0.995538	0.006207
662	0.998579	0.004999
663	1.0		0.003641
664	0.99981		0.003034
665	0.999061	0.003184
666	0.997891	0.003361
667	0.99658		0.003567
668	0.992555	0.003787
669	0.987369	0.004022
670	0.985862	0.004651
671	0.985761	0.005692
672	0.955679	0.009277
673	0.913945	0.015558
674	0.78014		0.01959
675	0.610197	0.021198
676	0.438556	0.020344
677	0.266714	0.016778
678	0.167313	0.013106
679	0.094013	0.009325
680	0.057564	0.006365
681	0.034787	0.004261
682	0.022882	0.002761
683	0.015178	0.001913
684	0.010755	0.001297
685	0.007663	0.00094
686	0.005756	0.000676
687	0.004292	0.000508
688	0.00322		0.000378
689	0.002283	0.000287
690	0.001545	0.000215
691	0.000879	0.000162
692	0.000214	0.00011
