Wavelength	BA RSR [watts]	stdev(RSR)
436	0.00001		0.000006
437	0.000061	0.000239
438	0.000117	0.000255
439	0.000241	0.000248
440	0.000349	0.000243
441	0.000455	0.000252
442	0.000756	0.000247
443	0.001197	0.000252
444	0.00207		0.000251
445	0.003712	0.000285
446	0.006869	0.000367
447	0.013212	0.000585
448	0.02717		0.001186
449	0.058606	0.002555
450	0.130876	0.006141
451	0.27137		0.012659
452	0.493542	0.019898
453	0.723971	0.019377
454	0.85751		0.011096
455	0.894222	0.004754
456	0.903034	0.003548
457	0.910928	0.003504
458	0.90988		0.003636
459	0.899475	0.003131
460	0.897977	0.003677
461	0.889667	0.00693
462	0.883542	0.010013
463	0.877453	0.011648
464	0.881011	0.011571
465	0.874721	0.009472
466	0.879688	0.006468
467	0.886569	0.004118
468	0.891913	0.003214
469	0.88768		0.002561
470	0.861157	0.003768
471	0.848533	0.004384
472	0.840828	0.002567
473	0.828339	0.004611
474	0.844202	0.007969
475	0.865864	0.00746
476	0.868497	0.004642
477	0.890253	0.003256
478	0.912538	0.004595
479	0.910385	0.004559
480	0.918822	0.00329
481	0.931726	0.002299
482	0.931813	0.002434
483	0.954248	0.002877
484	0.955545	0.003145
485	0.96242		0.003105
486	0.956424	0.002786
487	0.953352	0.002824
488	0.978564	0.00243
489	0.989104	0.002125
490	0.985615	0.002008
491	0.989469	0.003062
492	0.982262	0.003297
493	0.968801	0.004657
494	0.967332	0.009713
495	0.976836	0.013952
496	0.988729	0.011626
497	0.980826	0.004167
498	0.967361	0.005395
499	0.954754	0.002634
500	0.964132	0.004563
501	0.966125	0.00597
502	0.966772	0.002722
503	0.981834	0.006369
504	0.98232		0.00869
505	0.965685	0.004861
506	0.963135	0.007665
507	0.972261	0.015734
508	0.996498	0.01406
509	1.0		0.007425
510	0.9556		0.007475
511	0.844893	0.013412
512	0.534592	0.035112
513	0.190738	0.02464
514	0.048329	0.007771
515	0.013894	0.002572
516	0.005328	0.001211
517	0.002611	0.000744
518	0.001557	0.000549
519	0.0011		0.000482
520	0.000785	0.000401
521	0.000516	0.000331
522	0.000321	0.000273
523	0.000162	0.000236
524	0.000072	0.000191
525	0.000057	0.000185
526	0.000023	0.000187
527	0.000032	0.000183
528	-0.000016	0.00018
